200	4913581		pubDay=2026-05-21
406	259	content-type: text/plain	pubDay=2026-05-21&format=eforms
200	95985795		pubMonth=2026-05
406	259	content-type: text/plain	pubMonth=2026-05&format=eforms
400	43	content-type: text/plain	publicationDate=2026-05-21
