sub_niche,parent_lane,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate_pct,median_estimated_value,award_value_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,ai_leverage_1_5,subcontractability_1_5,delivery_gate_risk_1_5,working_capital_risk_1_5,ticket_fit_1_5,competition_fit_1_5,recurrence_fit_1_5,fragmentation_fit_1_5,spm_hunt_score,market_motion
FR · Forms / stationery / cards printing,PRINT_BROKER,France,FRANCE,OPEN_PUBLIC,EUR,94,86,8,9.3,,9,210000.0,400000.0,500000.0,0,,,19,6.25,595.7,2.0,5.0,3.0,4.0,5.0,3.0,2.116279069767442,4.875,72.13,OPEN_HUNT
FR · Stenotypy / stenography,LANGUAGE,France,FRANCE,OPEN_PUBLIC,EUR,31,26,4,15.38,,4,4215.25,101867.5,228586.25,0,,,8,21.43,1530.61,4.5,4.0,4.5,1.5,5.0,3.0,2.8461538461538463,3.3571428571428568,71.93,OPEN_HUNT
QC · Permits / forms / stationery printing,PRINT_BROKER,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,29,14,4,28.57,,29,68925.0,137885.49,439280.0,29,2.0,13.79,13,20.69,1129.61,2.0,5.0,3.0,4.0,5.0,4.666666666666667,4.428571428571429,3.4310344827586206,71.78,OPEN_HUNT
FR · General graphic design,CREATIVE,France,FRANCE,COMPETITIVE_OTHER,EUR,29,26,1,3.85,,2,207605.0,305070.0,402535.0,0,,,3,33.33,3333.33,5.0,3.5,2.0,1.0,5.0,3.0,1.4615384615384617,3.0,71.26,OPEN_HUNT
FR · Website redesign / development,WEB_DIGITAL,France,FRANCE,COMPETITIVE_OTHER,EUR,36,35,1,2.86,,4,30935.909999999996,44857.44,59647.75,0,,,4,25.0,2500.0,5.0,3.0,2.5,1.0,5.0,3.0,1.342857142857143,3.0,71.13,OPEN_HUNT
CA · Written translation,LANGUAGE,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,14,6,2,33.33,,17,22995.0,113000.0,229950.0,0,,,12,23.53,1141.87,4.5,4.0,2.0,1.5,5.0,3.0,5.0,3.1470588235294117,70.31,OPEN_HUNT
FR · Meeting / debate transcription,LANGUAGE,France,FRANCE,COMPETITIVE_OTHER,EUR,17,16,1,6.25,,3,26929.0,50000.0,67500.0,0,,,4,40.0,2800.0,4.5,4.0,2.0,1.5,5.0,3.0,1.75,3.0,68.45,OPEN_HUNT
FR · Written translation,LANGUAGE,France,FRANCE,COMPETITIVE_OTHER,EUR,15,14,1,7.14,,1,10000.0,10000.0,10000.0,0,,,1,100.0,10000.0,4.5,4.0,2.0,1.5,5.0,3.0,1.8571428571428572,3.0,67.26,OPEN_HUNT
DE · Website hosting / operation,WEB_DIGITAL,Germany,GERMANY,OPEN_PUBLIC,EUR,14,6,2,33.33,1800000.0,3,502510.16000000003,585920.0,1108157.5,6,4.0,16.67,5,20.0,2000.0,5.0,3.0,2.5,1.0,4.0,3.0,5.0,3.5,67.17,OPEN_HUNT
FR · Drupal / WordPress / CMS implementation,WEB_DIGITAL,France,FRANCE,OPEN_PUBLIC,EUR,15,13,2,15.38,,8,485899.875,665440.5,1000000.0,0,,,11,14.29,1265.31,5.0,3.0,2.5,1.0,4.0,3.0,2.8461538461538463,4.071428571428571,66.9,OPEN_HUNT
