loose_lane,source,country,title,cpv,collision_reason,url
Uniforms / PPE resale,Quebec,CANADA - QUEBEC,Commande ouverte pour achat d'uniformes,53000000,FAILED_STRICT_SEMANTIC_GATE,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=da4fb910-7649-4826-93d6-0d62070660c2
Uniforms / PPE resale,TED,POL,ZAKUP ENERGII ELEKTRYCZNEJ DLA PUNKTÓW POBORU PPE W WOJEWÓDZKIM SZPITALU SPECJALISTYCZNYM IM. NMP W CZĘSTOCHOWIE PRZY UL. BIALSKIEJ 104/118,,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,Canada federal,CANADA,Integrated Pest Management Services- Parks Canada Collections and Curatorial Centre,*70141605,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,TED,POL,"„Dystrybucja energii elektrycznej na potrzeby podmiotu leczniczego UCK WUM DSK na czas nieokreślony, dla punktów poboru energii elektrycznej (PPE)",,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,TED,CHE,Renouvellement des uniformes et EPI du service du stationnement,,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,France,FRANCE,MISE EN SURETE DES BATIMENTS COMMUNAUX - INSTALLATION ET MAINTENANCE,35120000,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:25-17174
Uniforms / PPE resale,Belgium,BE,Location et entretien des vêtements de travail de la commune de La Calamine,,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,Quebec,CANADA - QUEBEC,Fourniture de vêtements de travail,53100000,FAILED_STRICT_SEMANTIC_GATE,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=cdaf853a-6201-4116-96b9-4d0e04a97974
Uniforms / PPE resale,France,FRANCE,"Vêtements de travail, chaussures, équipements de protection individuelle et accessoires pour les agents des services et des collèges du Département de Saône-et-Loire. Lot n° 5 : Equipements de protect",115,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:24-62019
Uniforms / PPE resale,Quebec,CANADA - QUEBEC,Uniformes officiels et vêtements d’entraînement pour les equipes sportives du Cegep Heritage,53102900,FAILED_STRICT_SEMANTIC_GATE,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=b4d98d3d-55f0-46e7-8deb-0ef3d47735eb
Uniforms / PPE resale,TED,LTU,Lietuvos kalėjimų tarnybos ir Lietuvos probacijos tarnybos pareigūnų tarnybinė uniforma,,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,United Kingdom,UNITED KINGDOM,Automatic Meal Container Sealing Machines,39222000,ONSITE_EVENT_COLLISION,
Uniforms / PPE resale,United Kingdom,UNITED KINGDOM,Gas Shrinkage Contract,09120000,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,United Kingdom,UNITED KINGDOM,Market Engagement - Supply of workwear uniforms,,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,TED,ROU,Echipament din componenta uniformelor de politie,,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,France,FRANCE,fourniture de vêtements de travail pour la police municipale,150,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:24-118843
Uniforms / PPE resale,France,FRANCE,Fourniture de vêtements de travail et d'équipements de protection individuelle (EPI),150,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:26-53229
Uniforms / PPE resale,Belgium,BE,Location et entretien de vêtements de travail (marché stock 2026-2032),,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,Quebec,CANADA - QUEBEC,Fourniture de vêtements de travail,53100000,FAILED_STRICT_SEMANTIC_GATE,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=71ca6ee3-e0a2-475a-98ec-38ee5cfd0e4a
Uniforms / PPE resale,United Kingdom,UNITED KINGDOM,IWM/2526/FM/3479: Design and Construction of New Fire Engine Shed at IWM Duxford,,PHYSICAL_OR_COMPLEX_COLLISION,
Uniforms / PPE resale,United Kingdom,UNITED KINGDOM,UK2 PME - Computer Aided Design Software,,PHYSICAL_OR_COMPLEX_COLLISION,
Uniforms / PPE resale,TED,ESP,"Prestación del servicio de distribucion y reposicion material sanitario, valija, pequeña paquetería, uniformidad, distribución de muestras clínicas y gestión del sistema de almacenamiento logistico basado en el modelo Kanban.",,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,Canada federal,CANADA,W6892-24B008 - RFSO - Purchasing protective clothing with and without arc flash FR protection,*53100000,FAILED_STRICT_SEMANTIC_GATE,https://discovery.ariba.com/rfx/23215681?extsite=MjMyMTU2ODFfQU4wMTQ4NDA1MDk5Mg==
Uniforms / PPE resale,France,FRANCE,Fourniture de vêtements de travail pour les agents de la Ville de Carcassonne,150,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:25-9647
Uniforms / PPE resale,France,FRANCE,"VETEMENTS DE TRAVAIL, CHAUSSURES DE SECURITE ET EQUIPEMENTS DE PROTECTION INDIVIDUELLE (7 lots)",343,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:25-88574
Uniforms / PPE resale,TED,ESP,"Suministro de uniformidad, complementos y otros elementos de seguridad para los miembros del cuerpo de la Policía Local y de los Agentes de Movilidad del Excmo. Ayuntamiento de Alicante, ejercicios 2025-2027, dividido en 2 lotes.",,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,France,FRANCE,FOURNITURE ET LIVRAISON DE VETEMENTS DE TRAVAIL ET ACCESSOIRES DE PROTECTION POUR LES AGENTS DE LA CAISSE PRIMAIRE CENTRALE D'ASSURANCE MALADIE DES BOUCHES-DU-RHÔNE,18000000,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:26-60084
Uniforms / PPE resale,TED,EST,"Eesti Maaülikooli e-õppe keskkonna Moodle arendus-, haldus- ja majutusteenus",,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,France,FRANCE,"Achats de vêtements de travail, chaussures et équipements de sécurité",150,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:24-22521
Uniforms / PPE resale,Ireland,IRELAND,Provision of Irish Naval Services (NS) DPM Uniform for the Irish Defence Forces - FSU078C,18000000.0,FAILED_STRICT_SEMANTIC_GATE,https://ted.europa.eu/en/notice/-/detail/227913-2024
Uniforms / PPE resale,TED,ITA,FORNITURA DI UNIFORMI E PELLETTERIA PER GLI OPERATORI DELLA POLIZIA MUNICIPALE,,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,France,FRANCE,Blanchissage de vêtements de travail et de linge de lit.,36,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:23-165640
Uniforms / PPE resale,France,FRANCE,Uniformes et équipements pour la police municipale,35811200,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:25-5346
Uniforms / PPE resale,France,FRANCE,"FOURNITURE D'UNIFORMES, VETEMENTS, CHAUSSURES ET EQUIPEMENTS DIVERS A DESTINATION DES AGENTS DE LA POLICE MUNICIPALE, DES SERVICES ASVP, SSIAP ET POLICE DES MARCHES",35811200,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:23-156439
Uniforms / PPE resale,France,FRANCE,Uniformisation Des Systemes D 'Eclairage Dynamique Et Gestion A Distance,72222200,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:25-42905
Uniforms / PPE resale,France,FRANCE,Fourniture d'Equipements de Protection Individuelle (Relance),18100000,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:23-141895
Uniforms / PPE resale,Canada federal,CANADA,E60PR-24HIVI RFSO High visibility and protective clothing,*53100000,FAILED_STRICT_SEMANTIC_GATE,https://discovery.ariba.com/rfx/22554801?extsite=MjI1NTQ4MDFfQU4wMTQ4NDA1MDk5Mg==
Uniforms / PPE resale,TED,MDA,Uniformă de serviciu pentru angajații SAP,,FAILED_STRICT_SEMANTIC_GATE,
Uniforms / PPE resale,Ireland,IRELAND,CONTRACT FOR PROVISION OF PERSONAL PROTECTIVE EQUIPMENT AND A FULLY MANAGED PERSONAL PROTECTIVE EQUIPMENT SERVICE,18142000.0,FAILED_STRICT_SEMANTIC_GATE,https://ted.europa.eu/en/notice/-/detail/769288-2023
Uniforms / PPE resale,France,FRANCE,Nettoyage et entretien de vêtements de travail,36,FAILED_STRICT_SEMANTIC_GATE,https://www.boamp.fr/pages/avis/?q=idweb:26-39455
Uniforms / PPE resale,Quebec,CANADA - QUEBEC,Acquisition de vêtements de travail,53100000,FAILED_STRICT_SEMANTIC_GATE,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=c66eefea-29dc-4e2a-a51f-31e641ad93ab
