micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score
Commercial printing / print production,France,FRANCE,COMPETITIVE_OTHER,EUR,61,54,3,5.56,,32492.5,48495.0,57000.0,0,,,9,11.11,1111.11,74.86
Video production / editing / motion,Germany,GERMANY,OPEN_PUBLIC,EUR,35,8,1,12.5,980000.0,0.505,220500.0,3467557.02,6,14.0,0.0,7,25.0,1562.5,74.4
Market research / surveys / polling,France,FRANCE,OPEN_PUBLIC,EUR,47,38,5,13.16,,128475.0,132450.0,136425.0,0,,,4,25.0,2500.0,74.35
Transcription / speech-to-text,Canada federal,CANADA,OPEN_PUBLIC,CAD,13,11,2,18.18,,267979.5,411993.75,546770.705,0,,,6,37.5,2187.5,74.28
Graphic design / DTP / visual identity,Ireland,IRELAND,OPEN_PUBLIC,EUR,42,38,2,5.26,200000.0,150000.0,225000.0,437812.5,26,10.5,0.0,24,11.11,623.07,73.78
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,15,11,2,18.18,85000.0,200000.0,470451.09,2000000.0,16,3.0,18.75,22,9.41,575.78,73.58
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,29,28,1,3.57,375000.0,185000.0,365000.0,723000.0,153,4.0,1.96,69,8.92,362.47,73.38
SEO / digital marketing,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,14,11,2,18.18,10450000.0,41150.0,60996.0,233000.0,2,4.5,0.0,9,11.11,1111.11,72.83
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,28,19,3,15.79,,25510.199999999997,42739.415,66562.1,6,1.0,83.33,27,13.33,525.93,72.64
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,43,42,1,2.38,316665.0,150000.0,200000.0,356000.0,20,11.0,0.0,21,4.76,476.19,72.57
Website design / redesign / development,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,20,17,3,17.65,,89174.61,192205.0,287129.8075,20,7.5,0.0,13,15.0,900.0,72.46
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,16,14,1,7.14,,118031.32,166575.28,180000.0,21,5.5,14.29,14,14.29,839.0,72.25
Website design / redesign / development,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,26,21,5,23.81,71000.0,5000000.0,5000000.0,5000000.0,44,29.5,0.0,41,4.26,267.09,71.49
Website design / redesign / development,France,FRANCE,COMPETITIVE_OTHER,EUR,29,28,1,3.57,,59647.75,63098.5,66549.25,0,,,2,50.0,5000.0,70.84
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,22,21,1,4.76,174000.0,105875.8325,365000.0,686367.0,25,8.0,0.0,46,7.14,387.58,70.68
Media / press monitoring,Canada federal,CANADA,OPEN_PUBLIC,CAD,7,5,2,40.0,,45200.0,45200.0,45200.0,0,,,1,100.0,10000.0,70.56
Graphic design / DTP / visual identity,Canada federal,CANADA,OPEN_PUBLIC,CAD,10,9,1,11.11,,200238.5,600000.0,1272527.54,0,,,7,14.29,1428.57,70.38
Translation services,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,23,20,2,10.0,277500.0,120500.0,320000.0,656500.0,20,18.0,0.0,36,15.0,590.35,70.28
Video production / editing / motion,France,FRANCE,OPEN_PUBLIC,EUR,21,20,1,5.0,,183600.0,350000.0,575000.0,0,,,3,33.33,3333.33,70.24
Commercial printing / print production,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,23,19,3,15.79,180000.0,0.01,50000.0,272500.0,35,10.0,0.0,49,7.59,324.77,70.06
Transcription / speech-to-text,France,FRANCE,COMPETITIVE_OTHER,EUR,18,17,1,5.88,,26929.0,50000.0,67500.0,0,,,4,40.0,2800.0,69.94
SEO / digital marketing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,26,25,1,4.0,120000.0,161188.215,385454.0,467500.0,12,11.0,0.0,14,7.69,739.64,69.86
Software licence renewal / licensing,Canada federal,CANADA,OPEN_PUBLIC,CAD,22,4,1,25.0,,69732.3,510618.9,978530.73,0,,,9,11.11,1111.11,69.81
Media / press monitoring,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,15,2,1,50.0,,62715.0,70000.0,110810.625,0,,,5,42.86,2653.06,69.57
Translation services,France,FRANCE,COMPETITIVE_OTHER,EUR,22,21,1,4.76,,15000.0,20000.0,27834.2,0,,,4,25.0,2500.0,69.46
Graphic design / DTP / visual identity,Germany,GERMANY,COMPETITIVE_OTHER,EUR,7,5,1,20.0,,35600.0,74920.0,144000.0,6,4.0,0.0,8,14.29,1326.53,69.31
Media / press monitoring,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,20,18,2,11.11,88303.0,22000.0,66000.0,80000.0,16,7.0,0.0,12,27.78,1828.7,69.24
Website design / redesign / development,Ireland,IRELAND,OPEN_PUBLIC,EUR,17,15,2,13.33,132000.0,35960.0,72000.0,200000.0,13,12.0,15.38,11,15.38,1094.67,68.78
Social media / community management,France,FRANCE,OPEN_PUBLIC,EUR,13,12,1,8.33,,88902.0,179373.0,350647.5,0,,,3,33.33,3333.33,68.18
SEO / digital marketing,Germany,GERMANY,COMPETITIVE_OTHER,EUR,8,5,1,20.0,391660.0,348400.0,348400.0,348400.0,5,5.75,0.0,5,20.0,2000.0,67.83
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,8,7,1,14.29,1030000.0,34878.75,81686.0,204560.5,1,6.0,0.0,5,33.33,2222.22,66.93
Social media / community management,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,10,10,0,0.0,33900.0,180810.0,359728.0,466170.0,6,3.5,33.33,7,14.29,1428.57,66.82
Social media / community management,Ireland,IRELAND,OPEN_PUBLIC,EUR,8,7,1,14.29,30000.0,65157.58,80481.0,133990.5,3,3.0,0.0,2,66.67,5555.56,66.69
Translation services,Germany,GERMANY,COMPETITIVE_OTHER,EUR,14,4,2,50.0,,,,,1,7.0,0.0,1,100.0,10000.0,66.63
SEO / digital marketing,France,FRANCE,COMPETITIVE_OTHER,EUR,8,5,2,40.0,,,,,0,,,8,33.33,1851.85,66.57
WordPress / Drupal / CMS implementation,France,FRANCE,OPEN_PUBLIC,EUR,6,5,1,20.0,,244175.25,406410.5,568645.75,0,,,6,50.0,3000.0,66.42
Commercial printing / print production,Ireland,IRELAND,OPEN_PUBLIC,EUR,8,7,1,14.29,100000.0,92500.0,108500.0,287750.0,5,6.0,20.0,7,20.0,1733.33,66.39
Market research / surveys / polling,France,FRANCE,COMPETITIVE_OTHER,EUR,16,14,2,14.29,,48065.0,48065.0,48065.0,0,,,1,100.0,10000.0,66.27
Website maintenance / hosting / support,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,7,5,1,20.0,,197722.175,229758.1,253194.675,0,,,3,33.33,3333.33,65.56
Software licence renewal / licensing,France,FRANCE,OPEN_PUBLIC,EUR,20,19,1,5.26,,806000.5599999999,985000.0,1142500.0,0,,,5,33.33,2222.22,65.45
Transcription / speech-to-text,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,17,15,2,13.33,1105000.0,855000.0,2100000.0,3500000.0,12,9.5,8.33,14,14.29,790.82,65.17
SaaS / cloud software subscription,Canada federal,CANADA,OPEN_PUBLIC,CAD,9,2,1,50.0,,43907.94,43907.94,43907.94,0,,,1,100.0,10000.0,65.12
Social media / community management,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,6,5,1,20.0,,39796.25,45799.0,50749.5,0,,,5,33.33,2222.22,64.85
Graphic design / DTP / visual identity,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,5,4,1,25.0,50000.0,30000.0,45000.0,49999.0,0,,,3,50.0,3750.0,64.81
Video production / editing / motion,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,5,4,1,25.0,,28833.0,36000.0,42624.65,0,,,5,20.0,2000.0,64.51
Translation services,Ireland,IRELAND,OPEN_PUBLIC,EUR,7,6,1,16.67,1180000.0,307000.0,600000.0,800000.0,3,4.0,0.0,3,33.33,3333.33,64.37
