sub_niche,parent_lane,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate_pct,median_estimated_value,award_value_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,ai_leverage_1_5,subcontractability_1_5,delivery_gate_risk_1_5,working_capital_risk_1_5,ticket_fit_1_5,competition_fit_1_5,recurrence_fit_1_5,fragmentation_fit_1_5,spm_hunt_score,market_motion
QC · General commercial print production,OTHER,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,70,44,13,29.55,,94,29451.707499999997,40000.0,53481.0,94,1.0,100.0,50,6.38,289.72,2.5,2.5,2.0,1.0,5.0,5.0,4.545454545454546,4.861702127659575,79.55,DIRECT_BUYER_INTEL
QC · Permits / forms / stationery printing,PRINT_BROKER,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,25,15,6,40.0,,33,32413.75,49812.49,70029.42,31,1.0,100.0,18,12.12,762.17,2.0,5.0,3.0,4.0,5.0,5.0,5.0,4.287878787878788,74.24,DIRECT_BUYER_INTEL
QC · Brochure / publication printing,PRINT_BROKER,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,13,8,4,50.0,,15,28913.575,32979.0,37190.35,15,1.0,100.0,8,33.33,1822.22,2.0,5.0,3.0,4.0,5.0,5.0,5.0,2.166666666666667,65.82,DIRECT_BUYER_INTEL
QC · Large-format / display printing,PRINT_BROKER,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,8,8,0,0.0,,9,30543.11,43000.0,53898.0,9,1.0,100.0,7,22.22,1604.94,2.0,5.0,3.0,4.0,5.0,3.0,1.0,3.2777777777777777,53.51,DIRECT_BUYER_INTEL
DE · Website maintenance / support,WEB_DIGITAL,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,5,0,0,0.0,,0,,,,0,,,,,,5.0,3.0,2.5,1.0,3.0,3.0,1.0,3.0,49.99,DIRECT_BUYER_INTEL
DE · Website relaunch / development,WEB_DIGITAL,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,5,0,0,0.0,,0,,,,0,,,,,,5.0,3.0,2.5,1.0,3.0,3.0,1.0,3.0,49.99,DIRECT_BUYER_INTEL
QC · Educational / course-material printing,PRINT_BROKER,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,3,3,0,0.0,,4,29150.25,30236.0,36982.765,2,1.0,100.0,3,50.0,3750.0,2.0,5.0,3.0,4.0,5.0,3.0,1.0,3.0,48.59,DIRECT_BUYER_INTEL
