warehouse_source,country,route_band,records,buyers,known_lane,open_world_candidates,median_value,avg_priority
TED,PHL,UNKNOWN,5,2,0,1,2167708.0,52.1
TED,TLS,UNKNOWN,5,2,0,2,1646000.0,53.756
TED,EC,UNKNOWN,4,3,0,0,20414745.59,53.14
TED,ARG,UNKNOWN,4,2,0,2,855000.0,54.65
TED,UGA,UNKNOWN,4,3,0,1,1061100.0,52.385
TED,KG,UNKNOWN,4,3,0,2,1813000.0,54.725
TED,SLE,UNKNOWN,4,2,0,1,3761780.0,50.885
TED,NAM,UNKNOWN,4,3,0,0,51850000.0,45.17
TED,BOL,UNKNOWN,4,3,0,1,3289750.0,52.7
TED,ZA,UNKNOWN,4,2,0,0,1500000.0,47.42
TED,GRD,UNKNOWN,4,1,0,1,501000.0,47.45
TED,LR,UNKNOWN,4,2,0,0,3286450.0,44.29
TED,SOM,UNKNOWN,4,3,1,1,28000000.0,52.465
TED,MU,UNKNOWN,4,2,0,0,1343690.0,52.37
TED,TGO,UNKNOWN,4,2,0,0,3846292.5,52.28
TED,LSO,UNKNOWN,4,4,1,1,29718331.0,57.975
TED,SEN,UNKNOWN,4,4,0,1,716757000.0,50.415
TED,CPV,UNKNOWN,4,3,0,1,9850000.0,54.93
TED,AM,UNKNOWN,4,3,0,0,42000000.0,43.695
TED,TZA,UNKNOWN,4,3,1,1,14815868650.0,51.985
TED,BFA,UNKNOWN,4,4,0,0,4300000.0,53.305
TED,DOM,UNKNOWN,4,3,0,1,1085000.0,53.585
TED,BJ,UNKNOWN,4,4,0,0,519687625.0,47.81
TED,SAU,UNKNOWN,4,2,0,0,3500000.0,50.03
TED,MMR,UNKNOWN,4,1,0,2,1805000.0,53.12
TED,CUW,UNKNOWN,4,1,0,0,950000.0,53.445
TED,KR,UNKNOWN,4,3,0,0,279000000.0,54.205
TED,GIN,UNKNOWN,4,3,0,1,3758200.0,49.535
TED,PH,UNKNOWN,3,3,0,1,3199978.0,58.07333333333333
TED,RWA,UNKNOWN,3,2,0,0,550000.0,49.36
TED,NE,UNKNOWN,3,3,0,1,1500000000.0,45.946666666666665
TED,JP,UNKNOWN,3,3,0,0,54000000.0,51.946666666666665
TED,ISR,UNKNOWN,3,2,0,1,1380000.0,52.68
TED,CO,UNKNOWN,3,2,0,0,1492000.0,56.16
TED,AR,UNKNOWN,3,2,0,0,60425000.0,53.446666666666665
TED,HTI,UNKNOWN,3,3,0,2,299999.0,55.653333333333336
TED,CF,UNKNOWN,3,2,1,0,1250000.0,60.56
TED,TH,UNKNOWN,3,2,0,0,14999000.0,58.11333333333334
TED,NG,UNKNOWN,3,3,0,0,1709250.0,53.96
TED,CI,UNKNOWN,3,2,1,2,1429475.0,57.28
TED,VN,UNKNOWN,3,2,0,1,4869798.0,50.17333333333333
TED,MEX,UNKNOWN,3,2,0,0,4400000.0,52.28
