warehouse_source,country,broad_family,code,title_signature,records,median_value,median_bidders,avg_priority
USASPENDING_V1,USA,Web / digital,541513,"contractor support  dme (momentum, eacquisitions, vendor portal, fpng) pop <n>/<n>/<n> - <n>/<n>/<n>",1,9087866.4,1.0,69.88
USASPENDING_V1,USA,Web / digital,561621,security system install - k<n>/seoul,1,2497432.33,1.0,69.88
USASPENDING_V1,USA,Web / digital,519130,clinical portal of medical information,1,21817191.83,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,single application portal (sap) support,1,3057783.2,1.0,69.88
USASPENDING_V1,USA,Web / digital,334517,the purpose of this contract is to purchase multi energy portal systems and services.,1,14993662.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541330,base - epr portal support,1,20390362.04,1.0,69.88
USASPENDING_V1,USA,Web / digital,333923,modify two <n>/<n> ton portal cranes at norfolk naval shipyard (nnsy) for support of pier side special purpose service (,1,4798894.78,1.0,69.88
USASPENDING_V1,USA,Web / digital,541519,n<n>c open data portal and community engagement support services for ncats (covid-<n> action),1,5895541.44,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,coast guard credentialing opportunities portal analysis support services,1,3214015.79,1.0,69.88
USASPENDING_V1,USA,Web / digital,334517,low energy portal system,1,10622738.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,511210,ntp hl pacs stat portal & analytics,1,2271811.22,1.0,69.88
USASPENDING_V1,USA,Web / digital,541715,igf::ot::igf r&d multi-energy portal (mep) test and evaluation project,1,39135574.24,1.0,69.88
USASPENDING_V1,USA,Web / digital,541512,uc portal <n> month transition,1,4198344.5,1.0,69.88
USASPENDING_V1,USA,Web / digital,334517,this task order is to purchase multi energy portal systems and services.,1,18480970.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541330,"contract closeout support services for the volpe center's office of acquisitions, subject to the availability of fy<n> f",1,3822010.06,1.0,69.88
USASPENDING_V1,USA,Web / digital,541513,"contractor support o&m and dme (momentum, eacquisitions, vendor portal, fpng)  pop <n>/<n>/<n> - <n>/<n>/<n>",1,9555298.78,1.0,69.88
USASPENDING_V1,USA,Web / digital,541715,"dod sbir/sttr roadmap, proposal submission portal and reporting",1,35908811.05,1.0,69.88
USASPENDING_V1,USA,Web / digital,562910,igf::ot::igf parcel c closeout,1,3994336.05,1.0,69.88
USASPENDING_V1,USA,Web / digital,325120,nasa agency-wide supply of gaseous and liquid helium with linde for the nasa balloon operations contract at the columbia,1,2042680.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541513,deob and closeout,1,2006435.0,0.0,69.88
USASPENDING_V1,USA,Web / digital,541512,cder intake and data exchange (nextgen portal) solution,1,3562382.63,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,contract administration and closeout support services.,1,2874176.1,1.0,69.88
USASPENDING_V1,USA,Web / digital,325120,nasa agency-wide supply of gaseous and liquid helium with messer for the nasa balloon operations contract at csbf.,1,4705027.4,1.0,69.88
USASPENDING_V1,USA,Web / digital,561210,"provide the department of energy, office of headquarters procurement services with contract closeout and purchase card p",1,5989213.91,1.0,69.88
USASPENDING_V1,USA,Web / digital,325120,gn<n> - gaseous nitrogen supply and pipeline maintenance for ksc.,1,158195053.22,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,"the purpose of this pr request is for david evans associates, inc. (dea) to provide  fta region ii tro(<n>) with project",1,4395300.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,contract closeout support services for pd,2,1679752.705,1.0,69.64
USASPENDING_V1,USA,Web / digital,518210,igf::ot::igf other functions. contract for passenger fee data portal system (pfdps) web-portal support services.,1,1061625.63,1.0,69.4
USASPENDING_V1,USA,Web / digital,541519,hhs learning portal technical&project support,1,571382.0,1.0,69.4
USASPENDING_V1,USA,Language / transcription,541715,quality assessment support for the national institute of environmental health services (niehs) to conduct assessments of,1,1094464.0,1.0,69.4
USASPENDING_V1,USA,Web / digital,221210,this is a five-year fixed unit rate contract for the transportation of natural gas to the portsmouth gaseous diffusion p,1,1050000.0,1.0,69.4
USASPENDING_V1,USA,Web / digital,611699,iraq security cooperation information portal (scip) training support,1,554718.0,1.0,69.4
USASPENDING_V1,USA,Web / digital,334517,z-portal x-ray and z-portal backscatter van extended plan contract,1,535512.0,1.0,69.4
USASPENDING_V1,USA,Web / digital,315999,pss - replace <n> boon edam tap-<n> portals,1,674558.35,1.0,69.4
USASPENDING_V1,USA,Web / digital,541519,"office of the united states trade representative portal enhancements required by whit to help support trade enforcement,",1,774713.24,1.0,69.4
USASPENDING_V1,USA,Web / digital,336411,"<n>!sensor,gaseous mass",1,504485.8,1.0,69.4
USASPENDING_V1,USA,Web / digital,541990,base award funding for closeout,1,650300.54,1.0,69.4
USASPENDING_V1,USA,Web / digital,812930,"igf::ot::igf <n> maryland ave sw (portals) garage, <n> spaces",1,1714097.76,1.0,69.4
USASPENDING_V1,USA,Web / digital,541611,censeo - ebbp support tasks <n>&<n>,1,530341.24,1.0,69.4
USASPENDING_V1,USA,Web / digital,541519,"women, infants and children (wic) food delivery portal (fdp) follow-on",1,513311.16,1.0,69.4
USASPENDING_V1,USA,Web / digital,561110,nichd: oa services: contract closeout support,1,923512.4,1.0,69.4
USASPENDING_V1,USA,Language / transcription,541690,"igf::ot::igf the university of texas at el paso ""career and research development program for underrepresented scholars c",1,841203.39,1.0,69.4
USASPENDING_V1,USA,Web / digital,561110,"to support the consultations, sustainment, administration, maintenance, and future development of saf/ia sharepoint onli",1,625528.8,1.0,69.4
USASPENDING_V1,USA,Language / transcription,541940,"translational research program/ vivarium support services, ambis <n>",1,746199.9,1.0,69.4
USASPENDING_V1,USA,Web / digital,541611,"rad<n> support services in the following areas: acquisition system administration, contract closeout, and implementation",1,1845200.0,1.0,69.4
USASPENDING_V1,USA,Language / transcription,334516,"the national institute on aging (nia), intramural research program (irp), translational gerontology branch (tgb) require",1,721631.0,1.0,69.4
USASPENDING_V1,USA,Web / digital,518210,igf::ot::igf  the passenger fee data portal system (pfdps) going through eagle ii small business and itbuy for operation,1,814731.73,1.0,69.4
USASPENDING_V1,USA,Web / digital,541611,igf::ot::igf os closeout contract,1,1808627.51,1.0,69.4
USASPENDING_V1,USA,Web / digital,562910,roy pray portal repairs  the roy pray mine site has been determined to be eligible for listing on the national register ,1,656311.03,1.0,69.4
USASPENDING_V1,USA,Web / digital,334510,percutaneous osseointegrated prothesis devices,1,1686528.12,1.0,69.4
USASPENDING_V1,USA,Web / digital,541512,coordination & access portal for standards (caps),1,735593.85,1.0,69.4
USASPENDING_V1,USA,Web / digital,541611,cisa closeout services,1,1126159.2,1.0,69.4
USASPENDING_V1,USA,Web / digital,541611,contract closeout support service,1,1584404.0,1.0,69.4
USASPENDING_V1,USA,Language / transcription,621511,reference lab testing & interpretation services,1,620299.32,1.0,69.4
USASPENDING_V1,USA,Language / transcription,621111,diagnostic medical imaging interpretation services for the sisseton-wahpeton service unit,1,593730.0,1.0,69.4
USASPENDING_V1,USA,Web / digital,519130,online subscription - standard & poor's ratings direct global credit portal,1,1762250.0,1.0,69.4
USASPENDING_V1,USA,Web / digital,541611,igf::ot::igf  operational manager (om) support for the joint united states forces korea (usfk) portal and integrated thr,1,1263589.53,1.0,69.4
USASPENDING_V1,USA,Web / digital,236220,"installation of cbp infrastructure for security, camera, structural requirements etc. otay mesa forward operating lab, o",1,799871.76,1.0,69.4
USASPENDING_V1,USA,Language / transcription,811210,"the department of health and human services (hhs), national institutes of health (nih), national center for advancing tr",1,695604.0,1.0,69.4
USASPENDING_V1,USA,Web / digital,541512,support for the environmental information management portals (eimp) for the pacific islands (guam epa and cnmi).,1,868539.11,1.0,69.4
