lean_lane,route_band,currency,records,buyers,median_value,p25_value,p75_value,median_bidders,avg_priority
Software licences / SaaS resale,UNKNOWN,EUR,515,315,600000.0,308457.7,1544517.6949999998,1.0,72.52881553398058
Hardware / AV resale,COMPETITIVE_OTHER,EUR,480,246,372319.315,1.0,2038719.7550000001,3.0,63.803333333333335
Website support / accessibility / hosting,OPEN_PUBLIC,GBP,468,275,450000.0,158348.0,2750000.0,7.0,80.31337606837607
Graphic design / layout / DTP,OPEN_PUBLIC,EUR,453,342,230750.0,128350.0,423437.5,10.0,70.7566004415011
Courier / mail fulfilment,OPEN_PUBLIC,CAD,431,28,197401.695,69760.26,477213.9425,4.5,62.55396751740139
Hardware / AV resale,UNKNOWN,RON,420,234,1385570.0,363690.0,4481323.2975,1.5,70.81433333333334
Software licences / SaaS resale,DIRECT_NONCOMPETITIVE,GBP,418,245,100525.70000000001,30000.0,453960.0,1.0,76.77755980861244
Hardware / AV resale,UNKNOWN,CZK,416,139,4370210.0,1896250.0,12000000.0,1.0,71.08754807692307
Software licences / SaaS resale,UNKNOWN,UNKNOWN,408,276,423399.57,236231.64500000002,1673527.5,1.0,66.64019607843137
Training / e-learning,OPEN_PUBLIC,GBP,403,285,410000.0,150899.5,1633333.0,5.0,75.95682382133995
Signage / display production,UNKNOWN,UNKNOWN,382,172,488357.9425,286811.0,1035428.75,4.0,59.95157068062827
Document digitization / OCR / scanning,OPEN_PUBLIC,EUR,376,280,336469.0,163750.0,658275.0,3.0,73.08218085106382
Translation,DIRECT_NONCOMPETITIVE,CAD,360,56,50000.0,30000.0,75000.0,1.0,83.178
Training / e-learning,OPEN_PUBLIC,EUR,347,149,251250.0,97500.0,503151.135,5.0,70.10599423631123
Website / CMS build or redesign,OPEN_PUBLIC,GBP,336,173,282103.03500000003,88601.75,1500000.0,6.5,80.77011904761905
Recruitment / temporary staffing,UNKNOWN,UNKNOWN,325,211,131.5,97.5,4240000.0,3.0,54.77907692307692
Hardware / AV resale,COMPETITIVE_OTHER,GBP,322,216,150000.0,40643.0,2500000.0,3.0,67.95937888198758
OTHER / OPEN WORLD,UNKNOWN,CHF,319,149,605746.6,274607.67500000005,1500000.0,3.0,53.9225078369906
OTHER / OPEN WORLD,UNKNOWN,USD,311,147,873500.11,281938.0,2994038.0,1.0,53.39620578778135
Social media / community management,OPEN_PUBLIC,EUR,291,162,350000.0,59316.03,763218.0,4.0,72.04185567010309
Website / CMS build or redesign,UNKNOWN,UNKNOWN,291,242,396760.0,178859.0,730155.635,4.0,73.4708591065292
Recruitment / temporary staffing,OPEN_PUBLIC,GBP,281,232,1100000.0,249959.6,5750000.0,11.0,66.8185053380783
Office supplies / consumables resale,UNKNOWN,EUR,277,133,388742.31,120252.14749999999,928736.0,2.0,62.06945848375451
Signage / display production,COMPETITIVE_OTHER,EUR,271,230,294650.0,51120.25,1178723.75,2.0,59.56450184501845
Recruitment / temporary staffing,UNKNOWN,GBP,269,170,807727.5,72350.0,9743191.25,1.0,59.28542750929368
Call centre / helpdesk operations,UNKNOWN,EUR,267,184,1000000.0,454728.0,3165201.6,2.0,64.88164794007491
Website support / accessibility / hosting,COMPETITIVE_OTHER,CAD,264,66,401400.72,148688.875,803882.205,,68.21659090909091
Training / e-learning,DIRECT_NONCOMPETITIVE,GBP,260,165,79000.0,31287.5,222280.35,1.0,73.37353846153846
Translation,UNKNOWN,EUR,260,136,400000.0,179987.5,1841880.175,4.0,70.11869230769231
Recruitment / temporary staffing,DIRECT_NONCOMPETITIVE,EUR,253,112,70000.0,1.0,460700.0,1.0,60.99873517786561
Hardware / AV resale,DIRECT_NONCOMPETITIVE,EUR,252,142,236754.0,1.0,585315.5775,1.0,66.43388888888889
Signage / display production,DIRECT_NONCOMPETITIVE,CAD,250,131,45925.0,31817.510000000002,83923.68,1.0,72.5208
Transcription / captioning,DIRECT_NONCOMPETITIVE,CAD,247,24,60000.0,35000.0,90000.0,1.0,85.62307692307692
Software licences / SaaS resale,COMPETITIVE_OTHER,EUR,247,162,466500.0,1.0,1657888.5,2.0,70.03522267206478
OTHER / OPEN WORLD,UNKNOWN,ISK,239,35,56900000.0,1.0,203081445.0,3.0,50.311882845188286
Signage / display production,UNKNOWN,EUR,234,202,566435.0,169800.0,1412338.3875,4.0,60.697264957264956
Website / CMS build or redesign,UNKNOWN,EUR,229,114,330000.0,191197.865,580000.0,4.5,72.4231441048035
Uniforms / PPE resale,OPEN_PUBLIC,GBP,226,175,572000.0,200000.0,1570399.0,8.0,69.38743362831859
Signage / display production,OPEN_PUBLIC,GBP,221,181,360000.0,100000.0,1420000.0,6.0,71.87049773755656
Call centre / helpdesk operations,OPEN_PUBLIC,EUR,219,120,275080.0,9256.7125,929000.0,2.0,63.620365296803655
Website support / accessibility / hosting,COMPETITIVE_OTHER,EUR,215,169,384000.0,50000.0,1151579.83,3.0,69.67655813953489
Training / e-learning,UNKNOWN,GBP,212,164,500000.0,100000.0,10000000.0,1.0,68.85254716981132
Hardware / AV resale,DIRECT_NONCOMPETITIVE,CAD,210,85,112080.0,44759.8,395144.12,1.0,67.01466666666667
Office supplies / consumables resale,UNKNOWN,UNKNOWN,209,154,366988.77749999997,96967.185,1231031.1099999999,3.0,61.862775119617226
Software licences / SaaS resale,DIRECT_NONCOMPETITIVE,CAD,198,113,130000.0,52345.0,610647.875,1.0,76.38242424242424
Website support / accessibility / hosting,UNKNOWN,GBP,197,147,500000.0,75000.0,10000000.0,1.0,73.36578680203046
Website / CMS build or redesign,COMPETITIVE_OTHER,EUR,197,136,222145.0,1.0,765000.0,3.0,70.27076142131979
Hardware / AV resale,COMPETITIVE_OTHER,CAD,192,77,158090.875,89237.525,355249.3025,,64.3303125
Training / e-learning,UNKNOWN,UNKNOWN,187,148,431178.675,205978.80125000002,1876425.0,2.0,66.39026737967914
Printing / mailing / routing,COMPETITIVE_OTHER,EUR,178,158,55906.5,40990.0,60000.0,,65.13786516853932
Hardware / AV resale,UNKNOWN,NOK,176,74,14750000.0,4950000.0,50960000.0,2.0,71.70352272727273
Printing / mailing / routing,UNKNOWN,EUR,157,145,440267.0,175356.0,687500.0,1.0,68.85108280254777
Survey / market research,DIRECT_NONCOMPETITIVE,CAD,155,93,39125.0,31205.6525,55900.2575,1.0,72.2643870967742
Uniforms / PPE resale,OPEN_PUBLIC,CAD,155,82,140365.0,70188.0,356115.515,3.0,66.03832258064516
Printing / mailing / routing,UNKNOWN,UNKNOWN,149,93,1547850.5750000002,1293881.5675000001,1801819.5825,2.5,66.13221476510067
Survey / market research,UNKNOWN,GBP,149,98,355000.0,94675.0,4700000.0,4.0,67.96322147651007
Website / CMS build or redesign,UNKNOWN,GBP,148,102,355000.0,50397.5,27500000.0,30.5,74.41837837837838
Translation,UNKNOWN,UNKNOWN,147,113,638332.0,194072.4,1515949.8975,4.0,69.39619047619047
Website / CMS build or redesign,COMPETITIVE_OTHER,CAD,147,44,203564.225,48278.1175,505613.0,,70.33102040816327
Software licences / SaaS resale,OPEN_PUBLIC,CAD,146,39,513102.58,78994.62,1498233.145,3.0,72.21054794520548
Training / e-learning,UNKNOWN,EUR,143,88,425450.385,224378.82749999998,700000.0,1.5,71.01986013986014
Software licences / SaaS resale,UNKNOWN,GBP,139,96,137940.0,35865.0,2127083.25,,71.45482014388489
Recruitment / temporary staffing,UNKNOWN,NOK,138,87,27200000.0,6450000.0,121250000.0,7.0,65.46507246376811
Website support / accessibility / hosting,DIRECT_NONCOMPETITIVE,GBP,133,115,62500.0,34990.0,217620.465,1.0,77.98165413533835
Signage / display production,OPEN_PUBLIC,CAD,132,86,176618.08000000002,98924.0,514544.2075,4.0,68.70454545454545
Software licences / SaaS resale,OPEN_PUBLIC,GBP,128,110,990768.0449999999,280000.0,5000000.0,4.0,78.85703125
Recruitment / temporary staffing,COMPETITIVE_OTHER,GBP,128,102,1000000.0,77224.2,21887870.44,5.5,62.44609375
Uniforms / PPE resale,DIRECT_NONCOMPETITIVE,CAD,127,62,38803.75,29717.4375,69198.0,1.0,68.8851968503937
Survey / market research,OPEN_PUBLIC,GBP,127,98,375000.0,190000.0,738000.0,4.0,76.99039370078741
Graphic design / layout / DTP,COMPETITIVE_OTHER,EUR,126,97,58300.0,33250.0,104855.0,5.0,66.99857142857142
Translation,OPEN_PUBLIC,CAD,125,81,146750.06,52653.75,348037.995,6.0,74.28016
Uniforms / PPE resale,UNKNOWN,GBP,123,98,625000.0,132409.995,4500000.0,4.0,63.28211382113821
Uniforms / PPE resale,DIRECT_NONCOMPETITIVE,GBP,118,79,213800.0,64000.0,410000.0,1.0,70.2271186440678
Printing / mailing / routing,DIRECT_NONCOMPETITIVE,CAD,117,62,36687.585,28053.5325,54242.3825,1.0,79.39025641025641
Survey / market research,COMPETITIVE_OTHER,EUR,117,107,59125.0,36243.75,419750.0,5.0,61.852649572649575
Promotional merchandise,OPEN_PUBLIC,EUR,115,98,442000.0,345000.0,750000.0,10.0,65.74313043478261
Office supplies / consumables resale,COMPETITIVE_OTHER,EUR,115,101,80000.0,24675.11,588824.76,2.0,58.736695652173914
Event support / production,OPEN_PUBLIC,EUR,114,83,200000.0,94187.5,775000.0,3.0,64.91245614035088
Call centre / helpdesk operations,UNKNOWN,UNKNOWN,113,94,1161504.31,281618.1,3704038.75,2.0,59.784601769911504
Printing / mailing / routing,OPEN_PUBLIC,CAD,110,55,198202.84,120105.25,371481.5,2.0,76.88836363636364
Translation,COMPETITIVE_OTHER,EUR,110,54,42834.2,1.0,1245168.0,4.5,67.8550909090909
Website support / accessibility / hosting,UNKNOWN,EUR,109,64,327590.0,218250.0,763125.0,2.0,71.54073394495413
