lean_lane,route_band,currency,records,buyers,median_value,p25_value,p75_value,median_bidders,avg_priority
Transcription / captioning,OPEN_PUBLIC,CAD,27,25,288150.0,186200.0,1265680.0,1.5,79.77259259259259
Data entry / clerical processing,UNKNOWN,EUR,27,19,862569.0,423187.75,1324442.56,2.5,79.21037037037037
Office supplies / consumables resale,DIRECT_NONCOMPETITIVE,GBP,26,24,108000.0,83861.95,325000.0,1.0,72.0
Translation,LIMITED_INVITATION,CAD,25,17,47379.5,33656.25,75537.5,2.0,80.98
Graphic design / layout / DTP,LIMITED_INVITATION,CAD,25,21,43500.0,32754.0,66092.285,1.0,73.8032
Cloud / hosting / managed IT,UNKNOWN,GBP,25,23,3200000.0,2000139.53,14003817.28,,62.796
Media / press monitoring,UNKNOWN,UNKNOWN,24,21,152225.0,32227.75,284910.0,2.5,66.24333333333334
Courier / mail fulfilment,COMPETITIVE_OTHER,EUR,24,17,52815.775,47830.8875,58644.0,,54.045
Transcription / captioning,UNKNOWN,GBP,24,22,1094750.0,500000.0,15624999.25,,75.395
Recruitment / temporary staffing,FRAMEWORK_DPS_CALLOFF,GBP,24,22,1800000.0,177500.0,5030000.0,,63.3875
Office supplies / consumables resale,DIRECT_NONCOMPETITIVE,CAD,24,13,58865.56,37171.455,97028.1775,1.0,70.445
Call centre / helpdesk operations,DIRECT_NONCOMPETITIVE,EUR,24,17,255561.0,1.0,347021.7125,1.0,67.59416666666667
Website / CMS build or redesign,DIRECT_NONCOMPETITIVE,EUR,23,5,40000.0,28062.5,108844.0,1.0,73.88173913043478
Call centre / helpdesk operations,COMPETITIVE_OTHER,GBP,23,22,6235000.0,1212998.75,32500000.0,4.5,66.68695652173913
Event support / production,UNKNOWN,EUR,23,19,865000.0,305368.92500000005,5000000.0,1.0,63.874782608695654
Event support / production,UNKNOWN,UNKNOWN,23,21,1972825.0,664557.35,4513000.0,1.0,64.41739130434783
Call centre / helpdesk operations,COMPETITIVE_OTHER,CAD,23,19,530365.5,324098.32,1740113.1,,63.216521739130435
Recruitment / temporary staffing,DIRECT_NONCOMPETITIVE,CAD,22,14,78346.0,46000.0,179644.825,1.0,64.65454545454546
Printing / mailing / routing,DIRECT_NONCOMPETITIVE,GBP,22,19,363649.8,60000.0,800000.0,1.0,79.55727272727273
Transcription / captioning,COMPETITIVE_OTHER,EUR,22,21,85000.0,50000.0,5000000.0,,72.82181818181819
Training / e-learning,DIRECT_NONCOMPETITIVE,EUR,22,12,221000.0,0.505,550100.0,1.0,71.35454545454546
Video production / post-production,UNKNOWN,EUR,22,9,37950.0,7500.0,767100.0,13.5,66.97727272727273
Media / press monitoring,DIRECT_NONCOMPETITIVE,GBP,21,20,51800.0,24237.69,79391.16,2.0,74.69142857142857
Training / e-learning,UNKNOWN,RON,21,11,639000.0,45496.5,1447925.66,1.0,77.21047619047619
Courier / mail fulfilment,COMPETITIVE_OTHER,GBP,21,21,1956896.5,115582.185,6775000.0,3.0,63.153333333333336
Translation,UNKNOWN,NOK,21,15,12500000.0,7000000.0,20000000.0,5.0,83.72952380952381
Graphic design / layout / DTP,COMPETITIVE_OTHER,GBP,21,18,300000.0,149592.3,500000.0,7.0,74.6704761904762
Website support / accessibility / hosting,UNKNOWN,NOK,21,19,6000000.0,4600000.0,10000000.0,5.0,82.29904761904761
Recruitment / temporary staffing,UNKNOWN,SEK,20,16,15000000.0,4750000.0,25000000.0,9.0,64.842
Translation,FRAMEWORK_DPS_CALLOFF,EUR,20,4,145000.0,92000.0,400000.0,5.0,78.915
Hardware / AV resale,UNKNOWN,MDL,20,12,3280000.0,2648294.25,4812500.0,5.0,69.698
Hardware / AV resale,UNKNOWN,DKK,19,11,10000000.0,5321750.0,61105419.0,3.0,71.12315789473685
Social media / community management,DIRECT_NONCOMPETITIVE,CAD,19,13,43688.6,31328.125,53918.957500000004,1.0,74.36421052631579
Training / e-learning,UNKNOWN,NOK,18,15,2900000.0,2003750.0,7875000.0,3.5,76.5
Event support / production,DIRECT_NONCOMPETITIVE,CAD,18,9,99998.36,68243.0,100000.0,1.0,67.46666666666667
Office supplies / consumables resale,UNKNOWN,PLN,18,13,716268.86,112667.725,1306273.255,3.5,67.7
Transcription / captioning,OPEN_PUBLIC,GBP,18,15,675000.0,250500.0,1481250.0,8.0,82.06444444444445
Uniforms / PPE resale,UNKNOWN,MDL,18,5,4623000.0,2609500.0,11581282.3,3.0,68.77777777777777
Document digitization / OCR / scanning,DIRECT_NONCOMPETITIVE,GBP,18,17,85672.5,31981.25,135200.0,1.0,78.09333333333333
SEO / digital marketing,COMPETITIVE_OTHER,EUR,18,11,1000000.0,387490.0,2629000.0,3.0,72.20111111111112
Uniforms / PPE resale,UNKNOWN,SEK,18,11,8250000.0,3050000.0,16750000.0,2.0,68.48444444444445
Translation,UNKNOWN,PLN,18,11,1214231.79,437503.33125,2348750.0,2.0,72.07888888888888
SEO / digital marketing,DIRECT_NONCOMPETITIVE,GBP,17,16,54000.0,40000.0,155318.4,2.0,76.90117647058824
Video production / post-production,COMPETITIVE_OTHER,EUR,17,10,305600.0,228705.0,550000.0,3.0,68.5564705882353
Media / press monitoring,UNKNOWN,EUR,17,12,400000.0,83850.0,690655.735,4.0,69.33294117647058
Event support / production,OPEN_PUBLIC,CAD,17,8,133332.63,55027.5,329701.28,2.0,61.78588235294118
SEO / digital marketing,COMPETITIVE_OTHER,GBP,16,12,65498.0,42225.0,1857408.0,11.5,76.15875
Training / e-learning,UNKNOWN,SEK,16,14,5900000.0,4337500.0,10777500.0,5.0,71.82
Document digitization / OCR / scanning,COMPETITIVE_OTHER,GBP,16,15,750000.0,85000.0,7304905.17,4.0,75.77875
Hardware / AV resale,UNKNOWN,HUF,16,12,17332125.0,1959876.0,134812500.0,2.5,70.86125
Printing / mailing / routing,UNKNOWN,GBP,16,15,440000.0,169000.0,1275000.0,,70.0625
Printing / mailing / routing,COMPETITIVE_OTHER,GBP,16,15,1350032.69,309500.0,1532871.105,5.0,73.2425
Software licences / SaaS resale,UNKNOWN,CAD,16,12,615624.28,230545.10749999998,2835202.57,1.0,76.71125
Video production / post-production,OPEN_PUBLIC,CAD,15,10,182675.0,82443.75,1566436.25,13.0,71.62933333333334
Promotional merchandise,OPEN_PUBLIC,GBP,15,15,438087.175,171500.0,1710500.0,12.0,77.28666666666666
Signage / display production,COMPETITIVE_OTHER,CAD,15,5,506275.36,421443.8925,1408254.81,,59.716
OTHER / OPEN WORLD,UNKNOWN,MAD,15,6,7892939.0,6144114.43,126592820.27,3.0,53.952
Media / press monitoring,OPEN_PUBLIC,CAD,15,11,286424.195,143800.0575,483526.2425,1.0,74.316
Courier / mail fulfilment,UNKNOWN,EUR,15,7,450000.0,376800.0,503068.8,3.0,59.95733333333333
Transcription / captioning,DIRECT_NONCOMPETITIVE,GBP,15,13,128970.0,66666.0,261250.0,1.0,80.012
Website / CMS build or redesign,UNKNOWN,NOK,14,13,4237500.0,1737500.0,6675000.0,3.0,85.49285714285715
Media / press monitoring,COMPETITIVE_OTHER,CAD,14,2,69465.0,59607.5,75391.81,,69.41
Cloud / hosting / managed IT,UNKNOWN,UNKNOWN,14,11,865000.0,283200.0,2673965.3,6.5,59.104285714285716
Document digitization / OCR / scanning,LIMITED_INVITATION,CAD,14,13,50639.884999999995,34333.7,69318.28,1.0,79.96
Transcription / captioning,UNKNOWN,EUR,13,10,253875.0,143312.5,554237.28,12.0,76.46923076923076
Social media / community management,OPEN_PUBLIC,CAD,13,9,711900.0,711900.0,711900.0,,71.93230769230769
Office supplies / consumables resale,DIRECT_NONCOMPETITIVE,EUR,13,2,879889.0,581611.0,1178167.0,2.0,62.112307692307695
Graphic design / layout / DTP,UNKNOWN,GBP,12,11,340000.0,105000.0,2618469.5,,72.145
Video production / post-production,DIRECT_NONCOMPETITIVE,GBP,12,10,72500.0,51473.545,159750.0,2.0,73.85333333333334
Signage / display production,DIRECT_NONCOMPETITIVE,EUR,12,8,600000.0,337126.0,924660.44,,69.465
Media / press monitoring,OPEN_PUBLIC,GBP,12,11,80000.0,45250.0,155500.0,6.0,77.54333333333334
OTHER / OPEN WORLD,UNKNOWN,XOF,12,7,1400000000.0,508015718.75,8001824335.0,7.0,50.64666666666667
Cloud / hosting / managed IT,OPEN_PUBLIC,EUR,12,8,240000.0,169594.0,280000.0,2.0,64.98166666666667
Survey / market research,COMPETITIVE_OTHER,CAD,12,10,108612.5,67918.75,149306.25,,65.4
Translation,COMPETITIVE_OTHER,GBP,11,10,175000.0,60000.0,2672745.0,2.0,77.64
Data entry / clerical processing,OPEN_PUBLIC,CAD,11,11,486518.57,430009.28500000003,543027.855,5.0,72.33272727272727
Office supplies / consumables resale,COMPETITIVE_OTHER,GBP,11,9,360000.0,193600.0,1600000.0,4.0,68.4
Courier / mail fulfilment,UNKNOWN,UNKNOWN,11,8,,,,,56.514545454545456
Training / e-learning,UNKNOWN,PLN,11,9,768292.68,382792.68,1390251.36,2.0,78.94363636363636
Transcription / captioning,UNKNOWN,UNKNOWN,11,8,,,,,67.86363636363636
Cloud / hosting / managed IT,COMPETITIVE_OTHER,GBP,10,10,1875000.0,1205052.0,2475000.0,2.5,65.974
Video production / post-production,UNKNOWN,UNKNOWN,10,10,5750000.0,4875000.0,6625000.0,6.75,67.82
Graphic design / layout / DTP,COMPETITIVE_OTHER,CAD,10,8,132695.9,107307.95,783713.805,,73.384
Data entry / clerical processing,OPEN_PUBLIC,GBP,10,9,1122380.0,407514.75,5915886.337499999,3.0,81.846
Recruitment / temporary staffing,FRAMEWORK_DPS_CALLOFF,EUR,9,8,621637.0,216098.385,14207682.0,13.0,61.4
Call centre / helpdesk operations,UNKNOWN,NOK,9,8,18000000.0,14000000.0,19000000.0,3.0,65.29333333333334
Cloud / hosting / managed IT,OPEN_PUBLIC,GBP,9,9,180000.0,93864.0,2300000.0,17.0,64.76222222222222
Report / publication production,OPEN_PUBLIC,EUR,9,7,90000.0,59000.0,90000.0,6.0,68.11555555555556
Hardware / AV resale,UNKNOWN,MKD,9,7,28069369.0,12000000.0,80000000.0,4.0,71.54888888888888
Document digitization / OCR / scanning,DIRECT_NONCOMPETITIVE,EUR,9,5,1282000.0,495672.02,1282000.0,1.0,75.91777777777777
Social media / community management,COMPETITIVE_OTHER,CAD,9,6,152552.825,115829.23749999999,189276.4125,,67.60666666666667
Video production / post-production,LIMITED_INVITATION,CAD,9,7,74733.75,53502.0,92470.0,2.0,69.81111111111112
Website / CMS build or redesign,UNKNOWN,SEK,9,6,4669960.0,4000000.0,6000000.0,7.0,79.63777777777777
Video production / post-production,COMPETITIVE_OTHER,GBP,9,8,36000.0,19833.0,199624.65,7.0,68.82888888888888
Media / press monitoring,UNKNOWN,NOK,9,9,4800000.0,2000000.0,8400000.0,2.0,80.44444444444444
Graphic design / layout / DTP,UNKNOWN,NOK,9,7,4800000.0,4500000.0,14000000.0,8.0,79.15555555555555
Uniforms / PPE resale,COMPETITIVE_OTHER,CAD,8,4,108576.43,108576.43,108576.43,,62.98
Software licences / SaaS resale,UNKNOWN,PLN,8,6,850000.0,401468.75,1510784.1475,1.0,76.97
Uniforms / PPE resale,UNKNOWN,MKD,8,4,27710750.0,18244753.25,245000000.0,,68.26
OTHER / OPEN WORLD,UNKNOWN,INR,8,3,2641695000.0,2106264531.1125002,5977500000.0,5.0,48.825
Software licences / SaaS resale,LIMITED_INVITATION,CAD,8,7,93894.0,44565.6775,175264.88,1.5,74.9375
Cloud / hosting / managed IT,UNKNOWN,EUR,8,8,3750000.0,283750.0,56189167.1775,5.5,65.0525
Courier / mail fulfilment,UNKNOWN,NOK,8,6,83500000.0,1613831.25,234000000.0,1.0,66.8975
OTHER / OPEN WORLD,UNKNOWN,BRL,8,2,44359531.53,5788349.3,52416102.565,3.0,52.8925
Promotional merchandise,UNKNOWN,UNKNOWN,8,7,,,,,62.1975
OTHER / OPEN WORLD,UNKNOWN,USN,8,7,464769.43,381235.0,968382.09,1.0,50.3225
OTHER / OPEN WORLD,UNKNOWN,TRY,8,2,78473250.0,47088125.0,92195375.0,4.25,50.8925
Call centre / helpdesk operations,UNKNOWN,PLN,8,5,3394637.72,514892.0475,9075027.9,1.0,66.3825
Document digitization / OCR / scanning,COMPETITIVE_OTHER,CAD,8,6,190750.0,169955.0,10727471.44,,67.0575
Promotional merchandise,COMPETITIVE_OTHER,EUR,8,8,1658500.0,854250.0,2462750.0,14.0,62.4375
Office supplies / consumables resale,UNKNOWN,SEK,8,7,6012500.0,2530750.0,13321250.0,1.0,71.9925
SEO / digital marketing,UNKNOWN,GBP,7,7,67000.0,30000.0,2570500.0,3.0,69.73142857142857
Data entry / clerical processing,UNKNOWN,GBP,7,7,1440000.0,879500.0,1470000.0,,69.68
Promotional merchandise,DIRECT_NONCOMPETITIVE,CAD,7,7,67921.48,34866.58,74241.175,1.0,72.8
Hardware / AV resale,LIMITED_INVITATION,CAD,7,7,43245.0,33723.94,65428.5,2.0,67.22857142857143
Uniforms / PPE resale,UNKNOWN,PLN,7,5,1632820.04,611894.025,13529653.84,1.0,69.7
Printing / mailing / routing,COMPETITIVE_OTHER,CAD,7,6,,,,,67.04
OTHER / OPEN WORLD,UNKNOWN,TND,7,7,12000000.0,380372.0375,67221343.9325,2.0,54.27428571428572
Video production / post-production,UNKNOWN,NOK,7,6,12000000.0,8000000.0,22500000.0,12.0,76.50857142857143
Document digitization / OCR / scanning,FRAMEWORK_DPS_CALLOFF,EUR,7,3,300317.0,298145.28,689725.575,,74.34
Promotional merchandise,LIMITED_INVITATION,CAD,7,4,24657.0,12886.34,65949.76000000001,3.0,67.18571428571428
Social media / community management,DIRECT_NONCOMPETITIVE,EUR,7,4,11815865.7,6048128.85,17583602.549999997,1.0,74.46571428571428
Uniforms / PPE resale,UNKNOWN,DKK,6,3,26936332.5,14193166.25,37000000.0,2.0,71.52666666666667
Signage / display production,UNKNOWN,NOK,6,6,5750000.0,4250000.0,8375000.0,2.0,78.54333333333334
Data entry / clerical processing,DIRECT_NONCOMPETITIVE,CAD,6,6,55942.05,35888.25,190897.635,1.0,75.34
Data entry / clerical processing,COMPETITIVE_OTHER,CAD,6,5,74461.35,72707.025,76215.675,,71.28
Data entry / clerical processing,OPEN_PUBLIC,EUR,6,6,134000.0,104500.0,163500.0,2.0,71.10666666666667
Social media / community management,FRAMEWORK_DPS_CALLOFF,EUR,6,1,405039.0,116996.25,714900.0,,77.54
Office supplies / consumables resale,UNKNOWN,DKK,6,5,6090850.0,4948664.0,43835250.0,2.0,70.86666666666666
Media / press monitoring,COMPETITIVE_OTHER,EUR,6,5,50000.0,25000.05,51800.0,4.0,63.983333333333334
Promotional merchandise,UNKNOWN,EUR,6,6,900000.0,151050.0,2400000.0,,65.3
Printing / mailing / routing,DIRECT_NONCOMPETITIVE,EUR,6,6,283215.5,216128.6475,565000.0,,76.79
Media / press monitoring,LIMITED_INVITATION,CAD,6,6,58291.840000000004,38224.95,75955.70749999999,2.5,71.81333333333333
Document digitization / OCR / scanning,UNKNOWN,CAD,6,4,176256.675,153208.4925,304353.2025,2.5,82.47666666666667
SEO / digital marketing,DIRECT_NONCOMPETITIVE,CAD,6,4,75000.0,50000.0,100000.0,1.0,81.82
Signage / display production,UNKNOWN,DKK,6,4,1970688.5,1800000.0,3186594.25,3.0,74.91
Courier / mail fulfilment,FRAMEWORK_DPS_CALLOFF,GBP,5,4,255352.0,255352.0,1978430.0,,62.076
Event support / production,DIRECT_NONCOMPETITIVE,EUR,5,5,26400.5,0.7525,358350.0,1.0,64.38
Website support / accessibility / hosting,LIMITED_INVITATION,CAD,5,5,59250.0,41400.0,66708.5,2.0,81.44
Event support / production,FRAMEWORK_DPS_CALLOFF,EUR,5,1,6000000.0,140000.0,9400000.0,11.0,63.08
Training / e-learning,LIMITED_INVITATION,CAD,5,5,37725.0,23123.23,46847.5,1.0,72.84
OTHER / OPEN WORLD,UNKNOWN,JPY,5,3,260000000.0,94000000.0,329000000.0,,51.38
Video production / post-production,DIRECT_NONCOMPETITIVE,EUR,5,1,,,,1.0,70.488
Promotional merchandise,DIRECT_NONCOMPETITIVE,GBP,5,5,400000.0,350000.0,658500.0,4.0,79.96
Software licences / SaaS resale,UNKNOWN,SEK,5,5,68000000.0,60000000.0,92000000.0,2.5,72.94
Software licences / SaaS resale,UNKNOWN,RON,5,5,4800000.0,2020499.7,15914986.93,1.0,78.764
Report / publication production,OPEN_PUBLIC,GBP,5,4,32192.5,30000.0,1940788.75,,74.496
Transcription / captioning,FRAMEWORK_DPS_CALLOFF,EUR,5,3,150000.0,100000.0,275000.0,,80.36
Call centre / helpdesk operations,DIRECT_NONCOMPETITIVE,CAD,5,4,50959.0,39669.5,60973.705,1.0,59.36
Report / publication production,DIRECT_NONCOMPETITIVE,CAD,5,3,90897.6,82948.8,103171.8,1.0,64.94
Promotional merchandise,COMPETITIVE_OTHER,CAD,5,1,194083.15,167892.575,218805.85499999998,,71.4
Call centre / helpdesk operations,UNKNOWN,HUF,4,3,83636980.0,70044600.0,165228120.0,3.0,69.76
Social media / community management,UNKNOWN,SEK,4,3,11689500.0,2584250.0,20000000.0,3.5,81.8
Office supplies / consumables resale,LIMITED_INVITATION,CAD,4,3,43075.61,32776.505,54305.355,2.0,68.71
OTHER / OPEN WORLD,UNKNOWN,ILS,4,2,12770000.0,2790000.0,23875000.0,,49.91
Media / press monitoring,UNKNOWN,GBP,4,4,54949.575,38408.0,74963.3625,,71.9
Signage / display production,FRAMEWORK_DPS_CALLOFF,GBP,4,3,701865.0,701865.0,701865.0,,68.08
Call centre / helpdesk operations,FRAMEWORK_DPS_CALLOFF,GBP,4,4,9000000.0,4706538.82,76300000.0,,62.67
OTHER / OPEN WORLD,UNKNOWN,THB,4,2,24650000.0,8085000.0,64775000.0,1.0,54.305
Software licences / SaaS resale,UNKNOWN,DKK,4,3,39803676.0,34663027.0,161911617.75,1.0,83.005
OTHER / OPEN WORLD,OPEN_PUBLIC,USD,4,4,889035.0,21502.5,2010000.0,2.0,52.41
Transcription / captioning,COMPETITIVE_OTHER,GBP,4,4,91949.5,65110.5,175000.0,59.0,75.725
Report / publication production,UNKNOWN,EUR,4,4,4100.0,4100.0,4100.0,,62.37
Promotional merchandise,OPEN_PUBLIC,CAD,4,2,186098.54,142034.445,1218049.27,,75.48
Event support / production,COMPETITIVE_OTHER,CAD,4,4,103476.36,77988.18,162260.445,,65.455
OTHER / OPEN WORLD,UNKNOWN,KRW,4,3,385000000.0,304500000.0,440000000.0,1.0,53.855
Cloud / hosting / managed IT,OPEN_PUBLIC,CAD,4,4,42711.0,42711.0,42711.0,,59.775
Data entry / clerical processing,DIRECT_NONCOMPETITIVE,GBP,4,4,102504.065,60000.0,925412.0975,1.0,79.015
Call centre / helpdesk operations,UNKNOWN,CZK,4,3,5736000.0,5163650.0,136400622.25,1.0,67.785
SEO / digital marketing,OPEN_PUBLIC,CAD,4,4,475530.0,475530.0,475530.0,5.0,73.77
Promotional merchandise,UNKNOWN,NOK,4,4,4000000.0,3750000.0,4500000.0,6.0,78.865
Training / e-learning,FRAMEWORK_DPS_CALLOFF,GBP,4,4,720000.0,510000.0,3760000.0,,71.02
Transcription / captioning,LIMITED_INVITATION,CAD,4,4,60594.0,45000.0,73439.75,1.5,80.575
Report / publication production,COMPETITIVE_OTHER,GBP,4,4,300000.0,156250.0,600150000.0,20.0,72.165
OTHER / OPEN WORLD,UNKNOWN,TZS,3,3,900000000.0,561291600.0,15265000000.0,3.0,54.81333333333333
OTHER / OPEN WORLD,UNKNOWN,MGA,3,3,26646187669.01,14697336427.105,39422913680.525,3.0,57.913333333333334
Software licences / SaaS resale,FRAMEWORK_DPS_CALLOFF,GBP,3,3,98592.0,89927.34,11136210.5,,74.76
Graphic design / layout / DTP,DIRECT_NONCOMPETITIVE,EUR,3,0,,,,,67.98
Promotional merchandise,COMPETITIVE_OTHER,GBP,3,3,140000.0,115000.0,270000.0,2.5,76.82666666666667
Video production / post-production,UNKNOWN,GBP,3,3,1025000.0,537500.0,1512500.0,,69.72
Document digitization / OCR / scanning,UNKNOWN,PLN,3,3,2322500.0,1624551.625,8661250.0,1.0,83.18
OTHER / OPEN WORLD,UNKNOWN,MXN,3,2,82400000.0,43400000.0,82600000.0,,52.28
Signage / display production,UNKNOWN,CAD,3,2,57663.41,28875.68,68906.33,2.0,65.73333333333333
Survey / market research,UNKNOWN,CAD,3,3,142840.34,117266.45,170520.485,3.0,73.1
OTHER / OPEN WORLD,UNKNOWN,DZD,3,2,500000000.0,262500000.0,547000000.0,1.0,55.28
Transcription / captioning,UNKNOWN,NOK,3,3,3000000.0,1500000.0,21500000.0,4.0,78.38666666666667
Uniforms / PPE resale,FRAMEWORK_DPS_CALLOFF,GBP,3,3,2400000.0,1477500.0,2700000.0,,65.7
OTHER / OPEN WORLD,UNKNOWN,FJD,3,1,3250000.0,3250000.0,22875000.0,3.0,55.71333333333333
OTHER / OPEN WORLD,OPEN_PUBLIC,UZS,3,1,1104169881.73,552103290.865,1104169881.73,,53.12
Software licences / SaaS resale,UNKNOWN,CZK,3,2,4400000.0,4400000.0,12200000.0,1.0,73.08
OTHER / OPEN WORLD,UNKNOWN,XAF,3,3,4031000000.0,4031000000.0,5085293149.5,11.0,50.68
Social media / community management,UNKNOWN,PLN,3,3,3200000.0,1875000.0,3226016.26,3.0,83.52666666666667
Media / press monitoring,UNKNOWN,SEK,3,2,8000000.0,6250000.0,8000000.0,,78.32
Transcription / captioning,COMPETITIVE_OTHER,CAD,3,1,192000.0,192000.0,192000.0,,72.24
Website support / accessibility / hosting,FRAMEWORK_DPS_CALLOFF,GBP,3,3,44065.0,44065.0,44065.0,,71.88
Office supplies / consumables resale,FRAMEWORK_DPS_CALLOFF,GBP,3,3,700000.0,550000.0,850000.0,,62.72
OTHER / OPEN WORLD,UNKNOWN,ZAR,3,3,25100000.0,13447671.0,93772500.0,1.0,57.82
Signage / display production,UNKNOWN,CHF,3,1,793045.0,747175.39,961842.9,5.0,74.76666666666667
Media / press monitoring,UNKNOWN,CAD,3,3,287395.99,287395.99,316332.95999999996,3.0,75.48
OTHER / OPEN WORLD,UNKNOWN,ALL,3,3,160219926.71,157596896.35500002,160219926.71,,48.38
Social media / community management,LIMITED_INVITATION,CAD,3,3,38000.0,35031.76,69740.0,1.0,73.77333333333333
OTHER / OPEN WORLD,UNKNOWN,BAM,3,2,1800000.0,1190000.0,5320000.0,2.0,52.093333333333334
OTHER / OPEN WORLD,UNKNOWN,AMD,3,3,42000000.0,21031166.665,295000000.0,3.5,51.12
Training / e-learning,UNKNOWN,CZK,3,3,5785000.0,5542100.0,15392500.0,5.5,74.24666666666667
OTHER / OPEN WORLD,UNKNOWN,CNY,3,3,12390000.0,6574132.545,36714890.345,1.0,56.78666666666667
Courier / mail fulfilment,FRAMEWORK_DPS_CALLOFF,EUR,3,2,600000.0,350000.0,40300000.0,4.0,61.42666666666667
Graphic design / layout / DTP,DIRECT_NONCOMPETITIVE,GBP,3,2,22700.0,22700.0,22700.0,,71.32
Uniforms / PPE resale,UNKNOWN,ISK,2,1,0.0,0.0,0.0,9.0,50.18
Translation,FRAMEWORK_DPS_CALLOFF,GBP,2,2,573099.0,489999.5,656198.5,,80.78
Report / publication production,COMPETITIVE_OTHER,EUR,2,2,101931.25,63521.875,140340.625,4.0,75.88
Training / e-learning,UNKNOWN,BGN,2,1,72953.0,52601.5,93304.5,1.0,70.9
OTHER / OPEN WORLD,OPEN_PUBLIC,ZAR,2,2,70500.0,55750.0,85250.0,,45.65
Survey / market research,FRAMEWORK_DPS_CALLOFF,EUR,2,2,4000000.0,4000000.0,4000000.0,9.0,77.96
OTHER / OPEN WORLD,UNKNOWN,PHP,2,2,54150000.0,33825000.0,74475000.0,1.0,55.43
Courier / mail fulfilment,DIRECT_NONCOMPETITIVE,CAD,2,2,72766.19,72766.19,72766.19,1.0,60.8
Data entry / clerical processing,UNKNOWN,UNKNOWN,2,2,219575.0,219575.0,219575.0,,73.76
Social media / community management,UNKNOWN,NOK,2,2,450000.5,225000.75,675000.25,4.0,73.89
Uniforms / PPE resale,UNKNOWN,CZK,2,1,669000.0,628500.0,709500.0,2.0,72.68
Website support / accessibility / hosting,UNKNOWN,DKK,2,2,11587736.0,10382604.0,12792868.0,3.5,86.66
Document digitization / OCR / scanning,UNKNOWN,MKD,2,2,10100000.0,10050000.0,10150000.0,,76.11
Website support / accessibility / hosting,FRAMEWORK_DPS_CALLOFF,EUR,2,2,1005400.0,508100.0,1502700.0,,75.47
OTHER / OPEN WORLD,OPEN_PUBLIC,AFN,2,2,75000.0,37500.0,112500.0,,51.2
Promotional merchandise,UNKNOWN,GBP,2,2,,,,,66.36
Software licences / SaaS resale,UNKNOWN,MKD,2,2,824545490.5,426818235.75,1222272745.25,3.0,81.53
Hardware / AV resale,UNKNOWN,CHF,2,2,953553.0,680329.5,1226776.5,3.0,72.48
Transcription / captioning,UNKNOWN,RON,2,1,1231500.0,653334.0,1809666.0,3.0,80.84
Website / CMS build or redesign,UNKNOWN,CZK,2,2,22528925.0,11573387.5,33484462.5,3.5,86.09
SEO / digital marketing,UNKNOWN,NOK,2,2,3160000.0,2540000.0,3780000.0,10.0,81.56
Media / press monitoring,COMPETITIVE_OTHER,GBP,2,2,50034.0,43851.0,56217.0,,71.84
Recruitment / temporary staffing,UNKNOWN,DKK,2,1,4000000.0,4000000.0,4000000.0,,65.18
Uniforms / PPE resale,FRAMEWORK_DPS_CALLOFF,EUR,2,2,2000000.0,1000000.0,3000000.0,15.5,56.77
Uniforms / PPE resale,UNKNOWN,CAD,2,2,382377.56999999995,341956.94499999995,422798.195,3.0,70.28
Report / publication production,UNKNOWN,GBP,2,2,,,,,66.36
Event support / production,LIMITED_INVITATION,CAD,2,2,31772.5,29533.75,34011.25,2.0,63.3
Recruitment / temporary staffing,LIMITED_INVITATION,CAD,2,2,58550.0,50525.0,66575.0,1.5,62.95
SEO / digital marketing,LIMITED_INVITATION,CAD,2,1,63745.0,55497.5,71992.5,1.5,80.22
Data entry / clerical processing,COMPETITIVE_OTHER,GBP,2,2,325022500.0,162533750.0,487511250.0,2.0,78.25
OTHER / OPEN WORLD,UNKNOWN,VND,2,1,26445000000.0,17317500000.0,35572500000.0,,53.63
Training / e-learning,UNKNOWN,ISK,2,2,109875000.0,64012500.0,155737500.0,3.0,78.66
Call centre / helpdesk operations,UNKNOWN,DKK,2,2,6185794.04,3842897.02,8528691.06,2.5,73.57
Software licences / SaaS resale,FRAMEWORK_DPS_CALLOFF,EUR,2,2,15000000.0,15000000.0,15000000.0,,73.44
Website / CMS build or redesign,FRAMEWORK_DPS_CALLOFF,GBP,2,2,48500.0,48500.0,48500.0,,74.6
Cloud / hosting / managed IT,DIRECT_NONCOMPETITIVE,CAD,2,2,235411.9,133794.255,337029.54500000004,1.0,69.8
Website support / accessibility / hosting,UNKNOWN,MKD,1,1,18000000.0,18000000.0,18000000.0,,79.76
Event support / production,UNKNOWN,NOK,1,1,1300000.0,1300000.0,1300000.0,2.0,68.6
Hardware / AV resale,UNKNOWN,UAH,1,1,30011480.0,30011480.0,30011480.0,,69.28
OTHER / OPEN WORLD,UNKNOWN,CVE,1,1,351000000.0,351000000.0,351000000.0,,52.28
OTHER / OPEN WORLD,UNKNOWN,HTG,1,1,0.0,0.0,0.0,,45.2
OTHER / OPEN WORLD,UNKNOWN,TWD,1,1,9000000.0,9000000.0,9000000.0,,52.28
Courier / mail fulfilment,DIRECT_NONCOMPETITIVE,EUR,1,1,,,,,53.9
OTHER / OPEN WORLD,OPEN_PUBLIC,ETB,1,1,150000.0,150000.0,150000.0,,52.4
Survey / market research,UNKNOWN,NOK,1,1,10000000.0,10000000.0,10000000.0,9.0,78.66
