Warehouse_Source,Country,code,description,category,subcategory,lean_fit,automation_potential,records,buyers,first_date,last_date,median_estimated_value,median_bidders,one_bidder_rows
France,France,"21,364","Audit,Voies ferrées",Other,Services,15,20,1,1,2025-02-17,2025-02-17,,,0
France,France,"21,102","Audit,Eclairage public",Other,Services,15,20,1,1,2025-03-28,2025-03-28,,,0
France,France,72220000,"Audit,Fibre optique,Informatique (prestations de services)",Other,Services,15,20,1,1,2024-08-13,2024-08-13,,,0
France,France,75251100,"Audit,Contrôle technique,Extincteur",Other,Services,15,20,1,1,2023-09-24,2023-09-24,,,0
France,France,79212000,"Audit,Maîtrise d'oeuvre,Assistance à maîtrise d'ouvrage,Ingénierie",Other,Services,15,20,1,1,2023-12-18,2023-12-18,,,0
France,France,"21,8,18","Audit,Analyses médicales, biologiques,Assainissement",Other,Services,15,20,1,1,2024-02-17,2024-02-17,,,0
Ireland,Ireland,79635000.0,Assessment centre services for recruitment.,Other,Assessment centre services for recruitment.,15,20,1,1,2024-09-27,2024-09-27,200000.0,,0
Ireland,Ireland,80415000.0,Ski-training services.,Other,Ski-training services.,15,20,1,1,2025-02-24,2025-02-24,90000.0,,0
Canada federal,Canada,*25131509 *86100000 *86101700,*Fixed wing training aircraft or trainer *Vocational training *Non scientific vocational training services,Other,*Fixed wing training aircraft or trainer *Vocational training *Non scientific vocational training services,15,20,1,1,2024-10-04,2024-10-04,,,0
France,France,71317000,"Assistance juridique,Audit",Other,Services,15,20,1,1,2024-08-27,2024-08-27,,,0
France,France,"21,434,19","Audit,Assistance juridique,Assistance technique",Other,Services,15,20,1,1,2026-02-25,2026-02-25,,,0
France,France,"21,67","Audit,Conditionnement",Other,Services,15,20,1,1,2026-06-02,2026-06-02,,,0
Canada federal,Canada,*43232504,*Route navigation software,Other,*Route navigation software,15,20,1,1,2024-02-13,2024-02-13,,,0
Canada federal,Canada,*30171500 *30171600 *72103300 *72121100 *72121103 *72151200 *72151500 *72151501 *72151511 *72152300 *72153000 *72153600,*Doors *Windows *Infrastructure maintenance and repair services *Commercial and office building construction services *Commercial and office building renovation and repair service *Heating and cooling and air conditioning HVAC construction and maintenance services *Electrical system services *Lighting installation services *Lighting system maintenance or repair service *Carpentry services *Glass and glazing services *Interior finishing and furnishing and remodeling services,Other,*Doors *Windows *Infrastructure maintenance and repair services *Commercial and office building construction services *Commercial and office building renovation and repair service *Heating and cooling and air conditioning HVAC construction and maintenance services *Electrical system services *Lighting installation services *Lighting system maintenance or repair service *Carpentry services *Glass and glazing services *Interior finishing and furnishing and remodeling services,15,20,1,1,2024-01-26,2024-01-26,,,0
France,France,79212000,"Assistance à maîtrise d'ouvrage,Audit",Other,Services,15,20,1,1,2024-07-17,2024-07-17,,,0
Canada federal,Canada,*77101705 *80141500 *81120000 *81121500 *81141602,*Environmental economics advisory services *Market research *Economics *Economic analysis *Transit analysis,Other,*Environmental economics advisory services *Market research *Economics *Economic analysis *Transit analysis,15,20,1,1,2025-01-10,2025-01-10,,,0
Canada federal,Canada,*86100000 *92110000 *95122100,*Vocational training *Military services and national defense *Accommodation buildings and structures,Other,*Vocational training *Military services and national defense *Accommodation buildings and structures,15,20,1,1,2024-06-12,2024-06-12,,,0
France,France,90492000,"Assainissement,Audit",Other,Services,15,20,1,1,2024-09-07,2024-09-07,,,0
Canada federal,Canada,*39121100 *39121700 *39122100,*Distribution and control centers and accessories *Electrical hardware and supplies *Electrical transmission and distribution equipment,Other,*Distribution and control centers and accessories *Electrical hardware and supplies *Electrical transmission and distribution equipment,15,20,1,1,2026-02-19,2026-02-19,,,0
Canada federal,Canada,*11100000 *11101700 *80141500 *84121705 *84121805,*Minerals and ores and metals *Minerals *Market research *Market data *Precious metals market services,Other,*Minerals and ores and metals *Minerals *Market research *Market data *Precious metals market services,15,20,1,1,2024-02-07,2024-02-07,,,0
Canada federal,Canada,*77121501 *80141510 *81171901,*Air quality management *Market research telephone surveys *Air quality science service,Other,*Air quality management *Market research telephone surveys *Air quality science service,15,20,1,1,2023-12-11,2023-12-11,,,0
Canada federal,Canada,*80171502 *80171903 *80171904 *80171905 *86132100,"*Focus group and public feedback meeting facilitation and analysis *Internal stakeholder relations consultation and engagement *Cultural and ethnic group relations consultation and engagement *Indigenous peoples relations consultation and engagement *Training planning, facilitation and delivery services",Other,"*Focus group and public feedback meeting facilitation and analysis *Internal stakeholder relations consultation and engagement *Cultural and ethnic group relations consultation and engagement *Indigenous peoples relations consultation and engagement *Training planning, facilitation and delivery services",15,20,1,1,2023-08-31,2023-08-31,,,0
