Warehouse_Source,Country,code,description,category,subcategory,lean_fit,automation_potential,records,buyers,first_date,last_date,median_estimated_value,median_bidders,one_bidder_rows
Ireland,Ireland,79000000.0,"Business services: law, marketing, consulting, recruitment, printing and security.",Other,"Business services: law, marketing, consulting, recruitment, printing and security.",15,20,115,65,2023-08-15,2026-03-26,220000.0,,0
Canada federal,Canada,*43212100 *43212105 *43230000 *80101507 *80160000 *80161604 *81112002 *86132100,"*Computer printers *Laser printers *Software *Information technology consultation services *Business administration services *Information technology IT management services *Data processing or preparation services *Training planning, facilitation and delivery services",Other,"*Computer printers *Laser printers *Software *Information technology consultation services *Business administration services *Information technology IT management services *Data processing or preparation services *Training planning, facilitation and delivery services",15,20,2,1,2024-09-23,2025-07-23,,,0
United Kingdom,United Kingdom,30100000,"Office machinery, equipment and supplies except computers, printers and furniture",Other,"Office machinery, equipment and supplies except computers, printers and furniture",15,20,18,16,2023-08-14,2026-07-28,451000000.0,,0
Ireland,Ireland,30100000.0,"Office machinery, equipment and supplies except computers, printers and furniture.",Other,"Office machinery, equipment and supplies except computers, printers and furniture.",15,20,12,11,2023-11-15,2026-02-23,550000.0,,0
Canada federal,Canada,*23153200 *23260000 *23270000 *25101900 *25111719 *25111900 *25131600 *25131705 *25131707 *25131708 *25132100 *25132101 *25132102 *25132104 *25200000 *25201603 *25201701 *25202505 *31240000 *41100000 *41112100 *41113700 *41115300 *41116100 *43200000 *43201500 *43211500 *43221700 *43221731 *43221800 *43222600 *43230000 *43231503 *43231516 *43231517 *43232200 *43232300 *43232500 *43232600 *43232605 *43233000 *43233200 *43233204 *46170000 *46171619 *78111500 *78141805 *78182000 *81102301 *81111800 *81112000 *81141900 *81141901 *81141902 *81151800 *83112200 *92110000 *92111700 *92121704,*Robotics *Rapid prototyping machinery and accessories *Welding and soldering and brazing machinery and accessories and supplies *Specialized and recreational vehicles *Submarine tenders *Marine craft systems and subassemblies *Civilian and commercial rotary wing aircraft *Target or reconnaissance drones *Reconnaissance or surveillance aircraft *Anti submarine aircraft *Unmanned aerial vehicle *Agricultural drone *Military drone *Law enforcement drone *Aerospace systems and components and equipment *Air to ground terrain following systems *Aircraft communication systems *Aircraft onboard defrosting or defogging systems *Industrial optics *Laboratory and scientific equipment *Transducers *Electronic and communication measuring and testing instruments *Light and wave generating and measuring equipment *Manual test kits and quality controls and calibrators and standards *Components for information technology or broadcasting or telecommunications *System boards processors interfaces or modules *Computers *Fixed network equipment and components *Underwater communication system *Optical network devices *Network service equipment *Software *Procurement software *Audit software *Procedure management software *Content management software *Data management and query software *Educational or reference software *Industry specific software *Analytical or scientific software *Operating environment software *Security and protection software *Network security and virtual private network VPN equipment software *Security surveillance and detection *Security or access control systems *Passenger air transportation *Aerodrome or airport or aviation facility operations service *Water transport vessel maintenance and repair services *Avionics design *System and system component administration services *Data services *Manufacturing technology research and development services *Product research and development service *Application or technology research and development service *Oceanography and hydrology *Enhanced telecommunications services *Military services and national defense *Military science and research *Confinement surveillance systems maintenance or monitoring,Other,*Robotics *Rapid prototyping machinery and accessories *Welding and soldering and brazing machinery and accessories and supplies *Specialized and recreational vehicles *Submarine tenders *Marine craft systems and subassemblies *Civilian and commercial rotary wing aircraft *Target or reconnaissance drones *Reconnaissance or surveillance aircraft *Anti submarine aircraft *Unmanned aerial vehicle *Agricultural drone *Military drone *Law enforcement drone *Aerospace systems and components and equipment *Air to ground terrain following systems *Aircraft communication systems *Aircraft onboard defrosting or defogging systems *Industrial optics *Laboratory and scientific equipment *Transducers *Electronic and communication measuring and testing instruments *Light and wave generating and measuring equipment *Manual test kits and quality controls and calibrators and standards *Components for information technology or broadcasting or telecommunications *System boards processors interfaces or modules *Computers *Fixed network equipment and components *Underwater communication system *Optical network devices *Network service equipment *Software *Procurement software *Audit software *Procedure management software *Content management software *Data management and query software *Educational or reference software *Industry specific software *Analytical or scientific software *Operating environment software *Security and protection software *Network security and virtual private network VPN equipment software *Security surveillance and detection *Security or access control systems *Passenger air transportation *Aerodrome or airport or aviation facility operations service *Water transport vessel maintenance and repair services *Avionics design *System and system component administration services *Data services *Manufacturing technology research and development services *Product research and development service *Application or technology research and development service *Oceanography and hydrology *Enhanced telecommunications services *Military services and national defense *Military science and research *Confinement surveillance systems maintenance or monitoring,15,20,1,1,2026-05-27,2026-05-27,,,0
Canada federal,Canada,*D301A *D301C *JI7021 *JX7010A *JX7010AB *JX7010AH *JX7010B *N5340A,"*Computer and Data Processing Services *Computer Services, Not Elsewhere Specified *ADP Central Processing Unit (CPU, Computer) Digital - Installation *Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance *Computers, Digital Systems, Mini/Super Micro (May Include Operating System Software) - Maintenance *Computers, Digital Systems, Special Purpose, Includes Artificial Intelligence, Array, Parallel, Vector etc. - Maintenance *Computers, Digital Turnkey Systems, Large Scale (Includes Application Software) - Maintenance *General Hardware",Other,"*Computer and Data Processing Services *Computer Services, Not Elsewhere Specified *ADP Central Processing Unit (CPU, Computer) Digital - Installation *Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance *Computers, Digital Systems, Mini/Super Micro (May Include Operating System Software) - Maintenance *Computers, Digital Systems, Special Purpose, Includes Artificial Intelligence, Array, Parallel, Vector etc. - Maintenance *Computers, Digital Turnkey Systems, Large Scale (Includes Application Software) - Maintenance *General Hardware",15,20,1,1,2025-06-09,2025-06-09,,,0
Canada federal,Canada,*81111500 *81111600 *81111800 *81141902 *81160000,*Software or hardware engineering *Computer programmers *System and system component administration services *Application or technology research and development service *Information Technology Service Delivery,Other,*Software or hardware engineering *Computer programmers *System and system component administration services *Application or technology research and development service *Information Technology Service Delivery,15,20,1,1,2026-05-01,2026-05-01,,,0
Canada federal,Canada,*43210000 *43212100 *43230000 *78121600 *78131700 *78131800 *78131804 *80101507 *80161604 *81111708 *81111801 *81112100 *81141601 *81161700 *83111602,*Computer Equipment and Accessories *Computer printers *Software *Material handling services *Bulk storage *Specialized warehousing and storage *Document storage services *Information technology consultation services *Information technology IT management services *Telecommunications planning services *Computer or network or internet security *Internet services *Logistics *Telecommunication Services *Satellite or earth communication systems services,Other,*Computer Equipment and Accessories *Computer printers *Software *Material handling services *Bulk storage *Specialized warehousing and storage *Document storage services *Information technology consultation services *Information technology IT management services *Telecommunications planning services *Computer or network or internet security *Internet services *Logistics *Telecommunication Services *Satellite or earth communication systems services,15,20,1,1,2026-05-13,2026-05-13,,,0
Canada federal,Canada,*81100000 *81101700 *81102200 *81110000 *81111500 *81111801 *81112000 *81151800 *92111700,*Professional engineering services *Electrical and electronic engineering *Transportation engineering *Computer services *Software or hardware engineering *Computer or network or internet security *Data services *Oceanography and hydrology *Military science and research,Other,*Professional engineering services *Electrical and electronic engineering *Transportation engineering *Computer services *Software or hardware engineering *Computer or network or internet security *Data services *Oceanography and hydrology *Military science and research,15,20,1,1,2025-01-21,2025-01-21,,,0
Canada federal,Canada,*32130000 *39122100 *40101604 *43201500 *43201513 *43201553 *43201830 *43211501 *43222612 *43231512,*Electronic hardware and component parts and accessories *Electrical transmission and distribution equipment *Fans *System boards processors interfaces or modules *Motherboards *Transceivers and media converters *Solid state drive SSD *Computer servers *Network switches *License management software,Other,*Electronic hardware and component parts and accessories *Electrical transmission and distribution equipment *Fans *System boards processors interfaces or modules *Motherboards *Transceivers and media converters *Solid state drive SSD *Computer servers *Network switches *License management software,15,20,1,1,2024-11-05,2024-11-05,,,0
United Kingdom,United Kingdom,30000000,"Office and computing machinery, equipment and supplies except furniture and software packages",Other,"Office and computing machinery, equipment and supplies except furniture and software packages",15,20,64,42,2023-08-01,2026-07-27,1000000.0,,0
Ireland,Ireland,30000000.0,"Office and computing machinery, equipment and supplies except furniture and software packages.",Other,"Office and computing machinery, equipment and supplies except furniture and software packages.",15,20,47,36,2023-08-18,2026-03-30,205000.0,,0
Canada federal,Canada,*43232502,*Computer based training software,Other,*Computer based training software,15,20,5,4,2023-11-06,2025-09-15,,,0
Canada federal,Canada,*43232400 *81110000 *81111500 *81112200,*Development software *Computer services *Software or hardware engineering *Software maintenance and support,Other,*Development software *Computer services *Software or hardware engineering *Software maintenance and support,15,20,2,1,2024-02-05,2024-07-12,,,0
Canada federal,Canada,*43211515 *56000000 *56101700 *72153606,*Computer workstation *Furniture and Furnishings *Office furniture *Office furniture installation or reconfiguration service,Other,*Computer workstation *Furniture and Furnishings *Office furniture *Office furniture installation or reconfiguration service,15,20,2,1,2023-09-26,2023-10-19,,,0
Canada federal,Canada,*43190000 *81112200 *81112300,*Communications Devices and Accessories *Software maintenance and support *Computer hardware maintenance and support,Other,*Communications Devices and Accessories *Software maintenance and support *Computer hardware maintenance and support,15,20,1,1,2025-07-18,2025-07-18,,,0
Canada federal,Canada,*56100000 *56110000 *56111600 *56111700 *56111800 *56112000 *56112100 *56112200 *72153606 *72153615,*Accommodation furniture *Commercial and industrial furniture *Panel systems *Casegood and non modular systems *Freestanding furniture *Computer support furniture *Seating *Desking systems *Office furniture installation or reconfiguration service *Office furniture repair service,Other,*Accommodation furniture *Commercial and industrial furniture *Panel systems *Casegood and non modular systems *Freestanding furniture *Computer support furniture *Seating *Desking systems *Office furniture installation or reconfiguration service *Office furniture repair service,15,20,1,1,2023-12-28,2023-12-28,,,0
Canada federal,Canada,*11162100 *53100000 *53102700 *53102701 *60105800 *73140000 *73141700 *91100000 *91110000,*Specialty fabrics or cloth *Clothing *Uniforms *Military uniforms *Clothing and textile design instructional materials *Fibers and textiles and fabric industries *Fabrics and leather production *Personal appearance *Domestic and personal assistance,Other,*Specialty fabrics or cloth *Clothing *Uniforms *Military uniforms *Clothing and textile design instructional materials *Fibers and textiles and fabric industries *Fabrics and leather production *Personal appearance *Domestic and personal assistance,15,20,1,1,2024-03-22,2024-03-22,,,0
Canada federal,Canada,*56101700 *56101706 *56112002 *56112102 *56112106,*Office furniture *Conferencing tables *Computer support work surfaces *Task seating *Stool seating,Other,*Office furniture *Conferencing tables *Computer support work surfaces *Task seating *Stool seating,15,20,1,1,2026-07-21,2026-07-21,,,0
Canada federal,Canada,*43232202 *43232304 *43232610 *81162100 *81162103,*Document management software *Data base management system software *Medical software *Cloud-based platform as a service *Platform software as a service,Other,*Document management software *Data base management system software *Medical software *Cloud-based platform as a service *Platform software as a service,15,20,1,1,2026-05-01,2026-05-01,,,0
Canada federal,Canada,*56100000 *56110000 *56111600 *56111700 *56111800 *56112000 *56112100 *56112200 *72153606,*Accommodation furniture *Commercial and industrial furniture *Panel systems *Casegood and non modular systems *Freestanding furniture *Computer support furniture *Seating *Desking systems *Office furniture installation or reconfiguration service,Other,*Accommodation furniture *Commercial and industrial furniture *Panel systems *Casegood and non modular systems *Freestanding furniture *Computer support furniture *Seating *Desking systems *Office furniture installation or reconfiguration service,15,20,1,1,2023-11-20,2023-11-20,,,0
Canada federal,Canada,*43212002 *46171509 *56101700 *56112002 *56112204,*Monitor arms or stands *Key cabinets or organizers *Office furniture *Computer support work surfaces *Worksurfaces,Other,*Monitor arms or stands *Key cabinets or organizers *Office furniture *Computer support work surfaces *Worksurfaces,15,20,1,1,2026-01-06,2026-01-06,,,0
Canada federal,Canada,*43232502 *81112201,*Computer based training software *Maintenance or support fees,Other,*Computer based training software *Maintenance or support fees,15,20,1,1,2024-10-09,2024-10-09,,,0
Canada federal,Canada,*43232502 *86101810 *86132000,*Computer based training software *Personnel skills training *Management education and training services,Other,*Computer based training software *Personnel skills training *Management education and training services,15,20,1,1,2025-09-16,2025-09-16,,,0
Canada federal,Canada,*72153606 *72153615 *78102203,*Office furniture installation or reconfiguration service *Office furniture repair service *Mailing or mail pick up or delivery services,Other,*Office furniture installation or reconfiguration service *Office furniture repair service *Mailing or mail pick up or delivery services,15,20,1,1,2025-04-28,2025-04-28,,,0
Canada federal,Canada,*41113700 *43210000 *43230000 *55111600 *81111500 *81112200 *81112500 *81161501,*Electronic and communication measuring and testing instruments *Computer Equipment and Accessories *Software *Electronic software reference material *Software or hardware engineering *Software maintenance and support *Computer software licensing rental or leasing service *Software application administration service,Other,*Electronic and communication measuring and testing instruments *Computer Equipment and Accessories *Software *Electronic software reference material *Software or hardware engineering *Software maintenance and support *Computer software licensing rental or leasing service *Software application administration service,15,20,1,1,2023-11-09,2023-11-09,,,0
Canada federal,Canada,*43230000 *81112200 *81112500 *81162000,*Software *Software maintenance and support *Computer software licensing rental or leasing service *Cloud-based software as a service,Other,*Software *Software maintenance and support *Computer software licensing rental or leasing service *Cloud-based software as a service,15,20,1,1,2024-12-04,2024-12-04,,,0
Canada federal,Canada,*81111500 *81111501 *81111503 *81111600,*Software or hardware engineering *Mainframe software applications design *Systems integration design *Computer programmers,Other,*Software or hardware engineering *Mainframe software applications design *Systems integration design *Computer programmers,15,20,1,1,2025-02-10,2025-02-10,,,0
Canada federal,Canada,*43231505 *43231507 *43232500 *60102700 *60103700 *77101502 *77102001 *80100000 *80101507 *80170000 *80171505 *80171803 *80172000 *81111801 *81112000 *81162302 *81162307 *86132200,*Human resources software *Project management software *Educational or reference software *Patterning or matching or spatial perception or logical thinking teacher resource materials *Foreign languages resources *Environmental standards *Legal compliance certification service *Management advisory services *Information technology consultation services *Public relations and professional communications services *Communication planning *Media training and coaching service *Professional communication services *Computer or network or internet security *Data services *Data analytics process as a service *Human resource management process as a service *Educational support services,Other,*Human resources software *Project management software *Educational or reference software *Patterning or matching or spatial perception or logical thinking teacher resource materials *Foreign languages resources *Environmental standards *Legal compliance certification service *Management advisory services *Information technology consultation services *Public relations and professional communications services *Communication planning *Media training and coaching service *Professional communication services *Computer or network or internet security *Data services *Data analytics process as a service *Human resource management process as a service *Educational support services,15,20,1,1,2024-11-29,2024-11-29,,,0
Canada federal,Canada,*25132100 *43222600 *45121510 *45121522 *81101700 *81111500 *92110000 *92111700,*Unmanned aerial vehicle *Network service equipment *Aerial cameras *Infrared camera *Electrical and electronic engineering *Software or hardware engineering *Military services and national defense *Military science and research,Other,*Unmanned aerial vehicle *Network service equipment *Aerial cameras *Infrared camera *Electrical and electronic engineering *Software or hardware engineering *Military services and national defense *Military science and research,15,20,1,1,2026-04-29,2026-04-29,,,0
Canada federal,Canada,*43233513 *45121500 *45121501 *45121504 *45121517 *45121521 *46171610 *81111513 *81162202,*Cloud-based data access and sharing software *Cameras *Still cameras *Digital cameras *Document camera *Inspection camera *Security cameras *Internet cloud storage service *Cloud storage as a service,Other,*Cloud-based data access and sharing software *Cameras *Still cameras *Digital cameras *Document camera *Inspection camera *Security cameras *Internet cloud storage service *Cloud storage as a service,15,20,1,1,2024-10-02,2024-10-02,,,0
Canada federal,Canada,*43222503 *43233200 *43233206 *46170000 *81111801 *81112208 *92121700,*Vulnerability Assessment Security Equipment *Security and protection software *Cloud-based protection or security software *Security surveillance and detection *Computer or network or internet security *Security and protection software maintenance *Security systems services,Other,*Vulnerability Assessment Security Equipment *Security and protection software *Cloud-based protection or security software *Security surveillance and detection *Computer or network or internet security *Security and protection software maintenance *Security systems services,15,20,1,1,2026-04-01,2026-04-01,,,0
Canada federal,Canada,*25151700 *25151701 *25151702 *25151703 *25151704 *25151705 *25151706 *25151707 *81102302 *81111801 *81112208 *92111700,*Satellites *Communication satellites *Weather satellites *Military satellites *Scientific or research satellites *Navigation satellites *Geostationary satellites *Low earth orbit satellites *Space engineering service *Computer or network or internet security *Security and protection software maintenance *Military science and research,Other,*Satellites *Communication satellites *Weather satellites *Military satellites *Scientific or research satellites *Navigation satellites *Geostationary satellites *Low earth orbit satellites *Space engineering service *Computer or network or internet security *Security and protection software maintenance *Military science and research,15,20,1,1,2026-01-27,2026-01-27,,,0
Canada federal,Canada,*43211730 *43230000 *43232304 *43232307 *81112000 *81112002 *81162302 *92110000 *92111700,*Data acquisition system *Software *Data base management system software *Data mining software *Data services *Data processing or preparation services *Data analytics process as a service *Military services and national defense *Military science and research,Other,*Data acquisition system *Software *Data base management system software *Data mining software *Data services *Data processing or preparation services *Data analytics process as a service *Military services and national defense *Military science and research,15,20,1,1,2026-06-04,2026-06-04,,,0
Canada federal,Canada,*56101500 *56101700 *56101901 *56112000 *72153606,*Furniture *Office furniture *Furniture tops or work surfaces *Computer support furniture *Office furniture installation or reconfiguration service,Other,*Furniture *Office furniture *Furniture tops or work surfaces *Computer support furniture *Office furniture installation or reconfiguration service,15,20,1,1,2023-11-30,2023-11-30,,,0
Canada federal,Canada,*80101507 *81110000 *81111500 *81111705 *81160000,*Information technology consultation services *Computer services *Software or hardware engineering *Systems architecture *Information Technology Service Delivery,Other,*Information technology consultation services *Computer services *Software or hardware engineering *Systems architecture *Information Technology Service Delivery,15,20,1,1,2025-12-17,2025-12-17,,,0
Canada federal,Canada,*43230000 *43231512 *81112500 *81112501 *81112502,*Software *License management software *Computer software licensing rental or leasing service *Computer software licensing service *Computer software rental or leasing service,Other,*Software *License management software *Computer software licensing rental or leasing service *Computer software licensing service *Computer software rental or leasing service,15,20,1,1,2026-07-23,2026-07-23,,,0
Canada federal,Canada,*31152000 *43222500 *43222501 *43222502 *43222503 *43233200 *43233203 *43233204 *43233205 *43233206 *81111801 *81112208,*Security wire *Network security equipment *Firewall network security equipment *VPN network security equipment *Vulnerability Assessment Security Equipment *Security and protection software *Network security or virtual private network VPN management software *Network security and virtual private network VPN equipment software *Transaction security and virus protection software *Cloud-based protection or security software *Computer or network or internet security *Security and protection software maintenance,Other,*Security wire *Network security equipment *Firewall network security equipment *VPN network security equipment *Vulnerability Assessment Security Equipment *Security and protection software *Network security or virtual private network VPN management software *Network security and virtual private network VPN equipment software *Transaction security and virus protection software *Cloud-based protection or security software *Computer or network or internet security *Security and protection software maintenance,15,20,1,1,2024-10-21,2024-10-21,,,0
Canada federal,Canada,*43230000 *43231512 *81112500 *81112501,*Software *License management software *Computer software licensing rental or leasing service *Computer software licensing service,Other,*Software *License management software *Computer software licensing rental or leasing service *Computer software licensing service,15,20,1,1,2025-10-15,2025-10-15,,,0
Canada federal,Canada,*43233206 *80101507 *81160000 *84111600 *84111603,*Cloud-based protection or security software *Information technology consultation services *Information Technology Service Delivery *Audit services *Internal audits,Other,*Cloud-based protection or security software *Information technology consultation services *Information Technology Service Delivery *Audit services *Internal audits,15,20,1,1,2024-10-11,2024-10-11,,,0
Canada federal,Canada,*80101511 *80111511 *80141500,*Human resources consulting service *Labor training impact assessment *Market research,Other,*Human resources consulting service *Labor training impact assessment *Market research,15,20,1,1,2025-10-09,2025-10-09,,,0
Canada federal,Canada,*81161900 *81162000 *81162100 *81162200,*Cloud-based hardware as a service *Cloud-based software as a service *Cloud-based platform as a service *Cloud-based infrastructure as a service,Other,*Cloud-based hardware as a service *Cloud-based software as a service *Cloud-based platform as a service *Cloud-based infrastructure as a service,15,20,1,1,2025-07-21,2025-07-21,,,0
Canada federal,Canada,*56101700 *56112100 *56112101,*Office furniture *Seating *Auditorium or stadium or special use seating,Other,*Office furniture *Seating *Auditorium or stadium or special use seating,15,20,1,1,2023-09-11,2023-09-11,,,0
Canada federal,Canada,*56111500 *56111600 *56112000 *56112200,*Workstations and office packages *Panel systems *Computer support furniture *Desking systems,Other,*Workstations and office packages *Panel systems *Computer support furniture *Desking systems,15,20,1,1,2024-06-24,2024-06-24,,,0
Canada federal,Canada,*N3670 *N5963 *N5998 *N7021 *N7025 *N7035,"*Specialized Semiconductor, Micro-Circuit and Printed Circuit Board Manufacturing Machinery *Electronic Modules *Electrical and Electronic Assemblies, Boards, Cards and Associated Hardware *ADP Central Processing Unit (CPU, Computer) Digital *ADP Input-Output and Storage Devices *ADP Support Equipment",Other,"*Specialized Semiconductor, Micro-Circuit and Printed Circuit Board Manufacturing Machinery *Electronic Modules *Electrical and Electronic Assemblies, Boards, Cards and Associated Hardware *ADP Central Processing Unit (CPU, Computer) Digital *ADP Input-Output and Storage Devices *ADP Support Equipment",15,20,1,1,2025-02-07,2025-02-07,,,0
Canada federal,Canada,*43230000 *43232502 *81112200 *81112215 *81112216 *81161501,*Software *Computer based training software *Software maintenance and support *Content management software maintenance *Educational or reference software maintenance *Software application administration service,Other,*Software *Computer based training software *Software maintenance and support *Content management software maintenance *Educational or reference software maintenance *Software application administration service,15,20,1,1,2025-07-22,2025-07-22,,,0
Canada federal,Canada,*43233206 *43233513 *81111513 *81161900 *81162000 *81162100 *81162200 *81162201 *81162202,*Cloud-based protection or security software *Cloud-based data access and sharing software *Internet cloud storage service *Cloud-based hardware as a service *Cloud-based software as a service *Cloud-based platform as a service *Cloud-based infrastructure as a service *Cloud backup as a service *Cloud storage as a service,Other,*Cloud-based protection or security software *Cloud-based data access and sharing software *Internet cloud storage service *Cloud-based hardware as a service *Cloud-based software as a service *Cloud-based platform as a service *Cloud-based infrastructure as a service *Cloud backup as a service *Cloud storage as a service,15,20,1,1,2025-01-16,2025-01-16,,,0
Canada federal,Canada,*56101700 *56112000 *72153606,*Office furniture *Computer support furniture *Office furniture installation or reconfiguration service,Other,*Office furniture *Computer support furniture *Office furniture installation or reconfiguration service,15,20,1,1,2025-01-14,2025-01-14,,,0
Canada federal,Canada,*43232502 *45111806 *86111500,*Computer based training software *Distance learning systems *Distance learning services,Other,*Computer based training software *Distance learning systems *Distance learning services,15,20,1,1,2024-04-02,2024-04-02,,,0
Canada federal,Canada,*43232500 *43232600 *43233000 *81111500 *81111800 *81112000 *92110000 *92111700,*Educational or reference software *Industry specific software *Operating environment software *Software or hardware engineering *System and system component administration services *Data services *Military services and national defense *Military science and research,Other,*Educational or reference software *Industry specific software *Operating environment software *Software or hardware engineering *System and system component administration services *Data services *Military services and national defense *Military science and research,15,20,1,1,2026-04-23,2026-04-23,,,0
Canada federal,Canada,*JX7010A *JX7025 *N7010,"*Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance *ADP Input-Output and Storage Devices - Maintenance *Automatic Data Processing Equipment, System Configuration",Other,"*Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance *ADP Input-Output and Storage Devices - Maintenance *Automatic Data Processing Equipment, System Configuration",15,20,1,1,2024-01-18,2024-01-18,,,0
Canada federal,Canada,*81161900 *81162000 *81162100,*Cloud-based hardware as a service *Cloud-based software as a service *Cloud-based platform as a service,Other,*Cloud-based hardware as a service *Cloud-based software as a service *Cloud-based platform as a service,15,20,1,1,2024-10-21,2024-10-21,,,0
Canada federal,Canada,*25111533 *25111724 *43232502 *46201000 *46210000 *46211500 *49101705 *49101707 *60100000 *60101600 *80111504 *80111511 *81100000 *81162308 *86100000 *86101507 *86101601 *86101606 *86101607 *86101608 *86101609 *86101610 *86101700 *86101701 *86101707 *86101709 *86101716 *86101800 *86101802 *86101809 *86101810 *86111503 *86111504 *86121600 *86121700 *86121800 *86132100 *86132201,"*Training ship *Fishery training ship *Computer based training software *Public safety training equipment *Workplace safety equipment and supplies and training materials *Workplace safety training aids and materials *Certificates *Achievement certificate *Developmental and professional teaching aids and materials and accessories and supplies *Educational certificates or diplomas *Labor training or development *Labor training impact assessment *Professional engineering services *Training process as a service *Vocational training *Fishery vocational training services *Computer vocational training services *Electronics vocational training services *Telecommunications vocational training services *Hydraulics vocational training services *Industrial vocational training services *Engineering vocational training services *Non scientific vocational training services *Communications vocational training services *Personal care vocational training services *Safety training services *Shipping vocational training services *In service training and manpower development *Re training or refreshing training services *Merchant marine vocational training services *Personnel skills training *Certificated distance learning services *Non certificated distance learning services *Junior colleges *University and colleges *Professional schools *Training planning, facilitation and delivery services *Training workshop service",Other,"*Training ship *Fishery training ship *Computer based training software *Public safety training equipment *Workplace safety equipment and supplies and training materials *Workplace safety training aids and materials *Certificates *Achievement certificate *Developmental and professional teaching aids and materials and accessories and supplies *Educational certificates or diplomas *Labor training or development *Labor training impact assessment *Professional engineering services *Training process as a service *Vocational training *Fishery vocational training services *Computer vocational training services *Electronics vocational training services *Telecommunications vocational training services *Hydraulics vocational training services *Industrial vocational training services *Engineering vocational training services *Non scientific vocational training services *Communications vocational training services *Personal care vocational training services *Safety training services *Shipping vocational training services *In service training and manpower development *Re training or refreshing training services *Merchant marine vocational training services *Personnel skills training *Certificated distance learning services *Non certificated distance learning services *Junior colleges *University and colleges *Professional schools *Training planning, facilitation and delivery services *Training workshop service",15,20,1,1,2026-05-21,2026-05-21,,,0
United Kingdom,United Kingdom,80000000,Education and training services,Other,Education and training services,15,20,1167,366,2023-08-02,2026-07-28,1130000.0,,0
Canada federal,Canada,*39000000 *40000000 *41000000 *42000000 *44000000 *47000000 *60000000 *70000000 *72000000 *73000000 *76000000 *77000000 *78000000 *80000000 *81000000 *82000000 *83000000 *84000000 *85000000 *86000000 *90000000 *91000000,*Electrical Systems and Lighting and Components and Accessories and Supplies *Distribution and Conditioning Systems and Equipment and Components *Laboratory and Measuring and Observing and Testing Equipment *Medical Equipment and Accessories and Supplies *Office Equipment and Accessories and Supplies *Cleaning Equipment and Supplies *Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies *Farming and Fishing and Forestry and Wildlife Contracting Services *Building and Facility Construction and Maintenance Services *Industrial Production and Manufacturing Services *Industrial Cleaning Services *Environmental Services *Transportation and Storage and Mail Services *Management and Business Professionals and Administrative Services *Engineering and Research and Technology Based Services *Editorial and Design and Graphic and Fine Art Services *Public Utilities and Public Sector Related Services *Financial and Insurance Services *Healthcare Services *Education and Training Services *Travel and Food and Lodging and Entertainment Services *Personal and Domestic Services,Other,*Electrical Systems and Lighting and Components and Accessories and Supplies *Distribution and Conditioning Systems and Equipment and Components *Laboratory and Measuring and Observing and Testing Equipment *Medical Equipment and Accessories and Supplies *Office Equipment and Accessories and Supplies *Cleaning Equipment and Supplies *Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies *Farming and Fishing and Forestry and Wildlife Contracting Services *Building and Facility Construction and Maintenance Services *Industrial Production and Manufacturing Services *Industrial Cleaning Services *Environmental Services *Transportation and Storage and Mail Services *Management and Business Professionals and Administrative Services *Engineering and Research and Technology Based Services *Editorial and Design and Graphic and Fine Art Services *Public Utilities and Public Sector Related Services *Financial and Insurance Services *Healthcare Services *Education and Training Services *Travel and Food and Lodging and Entertainment Services *Personal and Domestic Services,15,20,1,1,2024-05-22,2024-05-22,,,0
United Kingdom,United Kingdom,73000000,Research and development services and related consultancy services,Other,Research and development services and related consultancy services,15,20,286,121,2023-08-01,2026-07-06,300000.0,,0
Canada federal,Canada,*56101700,*Office furniture,Other,*Office furniture,15,20,236,64,2023-08-02,2026-07-27,,,0
Ireland,Ireland,73000000.0,Research and development services and related consultancy services.,Other,Research and development services and related consultancy services.,15,20,157,86,2023-08-01,2026-03-27,130000.0,,0
United Kingdom,United Kingdom,79340000,Advertising and marketing services,Other,Advertising and marketing services,15,20,131,108,2023-08-01,2026-07-30,4000000.0,,0
Ireland,Ireland,79340000.0,Advertising and marketing services.,Other,Advertising and marketing services.,15,20,97,54,2023-09-03,2026-03-27,400000.0,,0
France,France,21,Audit,Other,Services,15,20,479,409,2023-08-14,2026-07-31,,,0
United Kingdom,United Kingdom,73200000,Research and development consultancy services,Other,Research and development consultancy services,15,20,72,37,2023-08-10,2026-07-10,125000.0,,0
United Kingdom,United Kingdom,39000000,"Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products",Other,"Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products",15,20,54,49,2023-08-02,2026-07-30,900000.0,,0
Ireland,Ireland,39000000.0,"Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products.",Other,"Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products.",15,20,50,35,2023-08-02,2026-02-25,275000.0,,0
Ireland,Ireland,73210000.0,Research consultancy services.,Other,Research consultancy services.,15,20,37,30,2023-09-26,2026-03-24,90000.0,,0
