warehouse_source,country,category,subcategory,lean_fit,automation_potential,onsite_requirement,records,buyers,median_estimated_value,median_bidders
TED,TR,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,3,3,3575000.0,
United Kingdom,United Kingdom,Other,Pipes and fittings,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Poles for carrying overhead lines,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Coaches,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Database management as a service,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Lubricating oils and lubricating agents,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Training simulators.,15,20,UNKNOWN,3,3,135000.0,
United Kingdom,United Kingdom,Other,Concrete work,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Fermentation equipment,15,20,UNKNOWN,3,2,,
TED,GIN,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,2,5720000.0,
United Kingdom,United Kingdom,Other,Bread products,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Flow-measuring equipment,15,20,UNKNOWN,3,3,1.0,
Ireland,Ireland,Other,Urban furniture.,15,20,UNKNOWN,3,3,2787500.0,
United Kingdom,United Kingdom,Other,Overhead line construction,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Services provided by youth associations,15,20,UNKNOWN,3,3,475000.0,
Canada federal,Canada,Other,*Heating system maintenance and repair service,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Maternity benefits,15,20,UNKNOWN,3,3,450000.0,
Canada federal,Canada,Other,*Aircraft cameras,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Motor vehicles *Truck tractors,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Firearms,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Adhesives,15,20,UNKNOWN,3,2,80000.0,
Ireland,Ireland,Other,Airport operation services.,15,20,UNKNOWN,3,3,225000.0,
United Kingdom,United Kingdom,Other,Installation services of medical equipment,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Aquatic marine services,15,20,UNKNOWN,3,3,489000.0,
Canada federal,Canada,Other,*Inspection,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Benches,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Renal support devices.,15,20,UNKNOWN,3,2,800000.0,
Ireland,Ireland,Other,Stakeholders representation services.,15,20,UNKNOWN,3,2,240000.0,
United Kingdom,United Kingdom,Other,Parenteral nutrition products,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Information technology consultation services *Computer programmers *Information Technology Service Delivery,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,"Jewellery, watches and related articles.",15,20,UNKNOWN,3,3,380000.0,
Canada federal,Canada,Other,*Nonhazardous waste disposal,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Repair and maintenance services of gas-detection equipment.,15,20,UNKNOWN,3,3,450000.0,
United Kingdom,United Kingdom,Other,Ultrasonic unit,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Cloud-based software as a service *Cloud-based platform as a service *Cloud-based infrastructure as a service,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Training and simulation in firearms and ammunition,15,20,UNKNOWN,3,1,,
TED,CM,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,3,2015850000.0,
Ireland,Ireland,Other,Urban areas mapping services.,15,20,UNKNOWN,3,3,65000.0,
United Kingdom,United Kingdom,Other,Construction work for railways and cable transport systems,15,20,UNKNOWN,3,3,,
TED,CO,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,2,1492000.0,
Canada federal,Canada,Other,*Miscellaneous Weapons,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Roof repair,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Wire-mesh fencing.,15,20,UNKNOWN,3,3,1000000.0,
Ireland,Ireland,Other,Machinery used in the manufacture of alcoholic or fruit beverages.,15,20,UNKNOWN,3,2,80000.0,
Ireland,Ireland,Other,Dredgers.,15,20,UNKNOWN,3,2,,
TED,BGD,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,2,3140000.0,
Ireland,Ireland,Other,Library furniture.,15,20,UNKNOWN,3,3,370000.0,
United Kingdom,United Kingdom,Other,Computer storage units,15,20,UNKNOWN,3,3,400000.0,
Canada federal,Canada,Other,*Professional procurement services *Computer services,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Portfolio management services.,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Scanners for computer use.,15,20,UNKNOWN,3,2,120000.0,
Canada federal,Canada,Other,*Nonresidential building construction services *General building construction,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Repair and maintenance services of boilers.,15,20,UNKNOWN,3,3,2000000.0,
Ireland,Ireland,Other,Installation of doors and windows.,15,20,UNKNOWN,3,3,807000.0,
United Kingdom,United Kingdom,Other,Camping sites and other non-hotel accommodation,15,20,UNKNOWN,3,3,7250000.0,
United Kingdom,United Kingdom,Other,Locksmith services,15,20,UNKNOWN,3,3,480000.0,
Canada federal,Canada,Other,*Face and head protection,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Laboratory glassware,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Project-design services other than for construction work.,15,20,UNKNOWN,3,3,130000.0,
TED,BJ,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,3,34759843812.5,
Canada federal,Canada,Other,*Laboratory mixing and stirring and shaking equipment and supplies,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Reprographic services,15,20,UNKNOWN,3,3,757295.0,
Canada federal,Canada,Other,*Management and Business Professionals and Administrative Services,15,20,UNKNOWN,3,1,,
TED,GR,Monitoring / research,Monitoring / analysis,70,UNKNOWN,UNKNOWN,3,3,749344.0,
Ireland,Ireland,Other,Electrical insulating fittings.,15,20,UNKNOWN,3,3,12000000.0,
Ireland,Ireland,Other,Medical practice and related services.,15,20,UNKNOWN,3,3,100000.0,
United Kingdom,United Kingdom,Other,CT scanners,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Advertising material,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Training facilities building.,15,20,UNKNOWN,3,3,220000.0,
United Kingdom,United Kingdom,Other,Maintenance of data network equipment,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Connection cables.,15,20,UNKNOWN,3,2,8950000.0,
Canada federal,Canada,Other,*Lifeboats or liferafts,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Water tanks.,15,20,UNKNOWN,3,3,1465000.0,
Canada federal,Canada,Other,*Gas detectors,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Plumbing system maintenance or repair *Plumbing system maintenance or repair,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Chassis.,15,20,UNKNOWN,3,2,1900000.0,
Canada federal,Canada,Other,*Weight measuring instruments,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Dental implant,15,20,UNKNOWN,3,3,1000000.0,
TED,ZA,Monitoring / research,Monitoring / analysis,70,UNKNOWN,UNKNOWN,3,1,1500000.0,
Canada federal,Canada,Other,*Building and facility maintenance and repair services *Nonresidential building construction services,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Hydraulic presses,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Fair and exhibition organisation services,15,20,UNKNOWN,3,3,20000.0,
United Kingdom,United Kingdom,Other,Health and first-aid training services,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Social services.,15,20,UNKNOWN,3,2,361049.0,
United Kingdom,United Kingdom,Other,Household-refuse collection services,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Freeze dryers or lyopholizers,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Electrochemical measuring instruments and accessories,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Cardiac-monitoring devices,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Physiotherapy services.,15,20,UNKNOWN,3,2,142500.0,
TED,RE,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Miscellaneous Electrical and Electronic Components,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Topographical services,15,20,UNKNOWN,3,3,325000.0,
United Kingdom,United Kingdom,Other,Multi-functional buildings construction work,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Support services for railway transport.,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Cranes.,15,20,UNKNOWN,3,3,150000.0,
Ireland,Ireland,Other,Diagnostic systems.,15,20,UNKNOWN,3,3,151000.0,
Ireland,Ireland,Other,Maintenance services of public-lighting installations and traffic lights.,15,20,UNKNOWN,3,2,3000000.0,
Ireland,Ireland,Other,Broadcasting equipment.,15,20,UNKNOWN,3,2,221000.0,
United Kingdom,United Kingdom,Other,Medical waste services,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Waterproof clothing,15,20,UNKNOWN,3,2,1720000.0,
United Kingdom,United Kingdom,Other,Intercom equipment,15,20,UNKNOWN,3,3,250000.0,
United Kingdom,United Kingdom,Other,"Repair and maintenance services of military aircrafts, missiles and spacecrafts",15,20,UNKNOWN,3,1,150000000.0,
Ireland,Ireland,Other,Real estate services with own property.,15,20,UNKNOWN,3,3,1000000.0,
United Kingdom,United Kingdom,Other,Toxic substances rehabilitation services,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Project management *Project administration or planning,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Electric motors.,15,20,UNKNOWN,3,3,85000.0,
United Kingdom,United Kingdom,Other,Hotel construction work,15,20,UNKNOWN,3,3,13000000.0,
United Kingdom,United Kingdom,Other,Landscaping work for parks,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Hire of agricultural machinery with operator,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Works of art.,15,20,UNKNOWN,3,3,90000.0,
Canada federal,Canada,Other,*Earthmoving service *Environmental Services *Environmental rehabilitation *Polluted soil removal services *Polluted soil treatment or rehabilitation,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Safety and security system installation services,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Bus-stop shelter construction work.,15,20,UNKNOWN,3,1,40000.0,
Canada federal,Canada,Other,*Printed circuits and integrated circuits and microassemblies,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Health policy,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Public-service buses,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Data equipment,15,20,UNKNOWN,3,3,150000000.0,
Ireland,Ireland,Other,Services provided by medical personnel.,15,20,UNKNOWN,3,2,100000.0,
United Kingdom,United Kingdom,Other,Track construction works,15,20,UNKNOWN,3,3,8000000.0,
United Kingdom,United Kingdom,Other,Maintenance and repair of computer equipment,15,20,UNKNOWN,3,3,100.0,
United Kingdom,United Kingdom,Other,"Construction work for commercial buildings, warehouses and industrial buildings, buildings relating to transport",15,20,UNKNOWN,3,3,8700000.0,
Ireland,Ireland,Other,Crisis management services.,15,20,UNKNOWN,3,3,500000.0,
United Kingdom,United Kingdom,Other,Artificial and natural lighting engineering services for buildings,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Project-management services other than for construction work,15,20,UNKNOWN,3,3,30000.0,
United Kingdom,United Kingdom,Other,Freight transport agency services,15,20,UNKNOWN,3,3,90000.0,
Canada federal,Canada,Other,*Tables,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Central-heating installation work.,15,20,UNKNOWN,3,3,100000.0,
Canada federal,Canada,Other,*Parking lot maintenance,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Actuators,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Devices for the disabled,15,20,UNKNOWN,3,3,371912.0,
Canada federal,Canada,Other,*Database analysis service,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Insurance claims adjustment services,15,20,UNKNOWN,3,3,2583000.0,
Canada federal,Canada,Other,*Prepared and preserved foods *Food and beverage industries *Food and nutrition services,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Handicraft and art supplies,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Hydraulic systems and components,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,"*Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance",15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Operation of electrical installations.,15,20,UNKNOWN,3,2,637500.0,
Canada federal,Canada,Other,"*COMPUTERS CPU, DIGITAL, INDUSTRIAL, MILITARIZED, RUGGEDIZED *ADP Input-Output and Storage Devices",15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Health assistance vocational training services,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Security and personal safety,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Cremators,15,20,UNKNOWN,3,3,,
TED,GRC,Web,Website / CMS,88,UNKNOWN,UNKNOWN,3,2,210000.0,
Ireland,Ireland,Other,Wireless telecommunications system.,15,20,UNKNOWN,3,3,17686000.0,
Canada federal,Canada,Other,*Miscellaneous Communications Equipment,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Metal detectors.,15,20,UNKNOWN,3,2,250000.0,
Canada federal,Canada,Other,*Water quality assessment services,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Clothing accessories,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Wood,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Animal feedstuffs,15,20,UNKNOWN,3,3,1.0,
Ireland,Ireland,Other,Fans and air-conditioning appliances.,15,20,UNKNOWN,3,3,420000.0,
Ireland,Ireland,Other,Thermal insulation work.,15,20,UNKNOWN,3,2,28650000.0,
United Kingdom,United Kingdom,Other,Repair and maintenance services of locomotive wheelsets,15,20,UNKNOWN,3,3,19140000.0,
United Kingdom,United Kingdom,Other,Drinking water,15,20,UNKNOWN,3,3,,
TED,TZA,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,2,29630000000.0,
Canada federal,Canada,Other,*Highway and road sign or guardrail construction and repair service,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Metering instruments.,15,20,UNKNOWN,3,2,110000.0,
United Kingdom,United Kingdom,Other,Signs and illuminated signs,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Heavy construction services *Marine construction services *Dredging services,15,20,UNKNOWN,3,1,,
TED,AM,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,2,42000000.0,
TED,UZB,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,2,7532756.0,
United Kingdom,United Kingdom,Other,Ventilation equipment,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Laboratory electron and solid state physics equipment,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,"*Trailer, travel or caravan *Trailer, mobile classroom *Vehicle bodies and trailers *Product and material trailers",15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Hydrographic instruments.,15,20,UNKNOWN,3,2,270000.0,
TED,ARM,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,3,3,3500000.0,
Ireland,Ireland,Other,Mobile homes.,15,20,UNKNOWN,3,3,190000.0,
Canada federal,Canada,Other,*Commercial and office building construction services *General building construction,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*International patent *Nation based patent *Patent or trademark or copyright law,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Endoscopes,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Power tools,15,20,UNKNOWN,3,3,1140000.0,
Canada federal,Canada,Other,*Signal filters,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Hire of trucks with driver,15,20,UNKNOWN,3,3,,
TED,ZAF,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,3,10000000.0,
Ireland,Ireland,Other,Laboratory glassware.,15,20,UNKNOWN,3,3,48808.0,
Canada federal,Canada,Other,*Research vessel *Domestic vessel transport services,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Electronic mail services.,15,20,UNKNOWN,3,3,150000.0,
Canada federal,Canada,Other,*Astronomy *Application or technology research and development service,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Optical-fibre cables.,15,20,UNKNOWN,3,1,165000.0,
Canada federal,Canada,Other,*Monitor arms or stands *Office furniture,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Electronic manufacturing machinery and equipment and accessories,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Arborist services,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Floor coverings.,15,20,UNKNOWN,3,3,100000.0,
United Kingdom,United Kingdom,Other,Wheeled containers,15,20,UNKNOWN,3,1,130000.0,
United Kingdom,United Kingdom,Other,Civil engineering machinery,15,20,UNKNOWN,3,3,400000.0,
Ireland,Ireland,Other,Repair and maintenance services of generators.,15,20,UNKNOWN,3,2,690000.0,
United Kingdom,United Kingdom,Other,Water plumbing work,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Diving instruments or accessories.,15,20,UNKNOWN,3,2,200000.0,
United Kingdom,United Kingdom,Other,Cemetery maintenance services,15,20,UNKNOWN,3,3,225000.0,
Canada federal,Canada,Other,*Chairs *Task seating,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Breathing apparatus for firefighting.,15,20,UNKNOWN,3,3,450000.0,
Canada federal,Canada,Other,*Canoes or kayaks,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Published Products,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Motor vehicles for the transport of 10 or more persons,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Solar installation.,15,20,UNKNOWN,3,3,400000.0,
United Kingdom,United Kingdom,Other,Miscellaneous building structures,15,20,UNKNOWN,3,3,100000000.0,
TED,MQ,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,3,2,2000000.0,
Canada federal,Canada,Other,*Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Clutch parts and accessories,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Vehicles for the emergency services.,15,20,UNKNOWN,3,3,125000.0,
Ireland,Ireland,Other,Highways consultancy services.,15,20,UNKNOWN,3,3,110000.0,
Canada federal,Canada,Other,*Soft timber,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Builders' joinery,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Special education services.,15,20,UNKNOWN,3,2,450000.0,
Canada federal,Canada,Other,*Scientific or research satellites,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Machines and apparatus for testing and measuring.,15,20,UNKNOWN,3,2,60000.0,
United Kingdom,United Kingdom,Other,Gas-detection equipment,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Miscellaneous transport equipment and spare parts.,15,20,UNKNOWN,3,2,900000.0,
Ireland,Ireland,Other,Gas network equipment.,15,20,UNKNOWN,3,2,130000.0,
United Kingdom,United Kingdom,Other,Radio-isotopes,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Blinds,15,20,UNKNOWN,3,2,380000.0,
United Kingdom,United Kingdom,Other,Stonework,15,20,UNKNOWN,3,3,220000.0,
Canada federal,Canada,Other,*Transportation repair or maintenance services,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Soil-decontamination work,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Maintenance and repair of computer equipment.,15,20,UNKNOWN,3,3,190000.0,
TED,SVN,Printing,Print / routing,66,UNKNOWN,UNKNOWN,3,2,775000.0,
Canada federal,Canada,Other,*Marine signaling systems *Navigational services *Marine navigational or communication services,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,"Research, testing and scientific technical simulator.",15,20,UNKNOWN,3,2,30000.0,
Ireland,Ireland,Other,Non-residential property renting or leasing services.,15,20,UNKNOWN,3,3,350000.0,
Ireland,Ireland,Other,Greases and lubricants.,15,20,UNKNOWN,3,3,1300000.0,
Canada federal,Canada,Other,*Mechanical engineering *Electrical engineering services,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Road markings,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Turbine rotors.,15,20,UNKNOWN,3,1,6150000.0,
TED,BGR,Web,Website / CMS,88,UNKNOWN,UNKNOWN,3,2,10600000.0,
United Kingdom,United Kingdom,Other,Vehicles for refuse and sewage,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Swimwear,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Maintenance and repair of data network equipment.,15,20,UNKNOWN,3,3,340000.0,
United Kingdom,United Kingdom,Other,Linen,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,"*Radar Equipment, Except Airborne",15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Tents,15,20,UNKNOWN,3,2,250000.0,
Canada federal,Canada,Other,*Coating systems,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,"Pipeline, piping, pipes, casing, tubing and related items",15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Residential property services.,15,20,UNKNOWN,3,2,1500000.0,
TED,CRI,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,3,800000000.0,
United Kingdom,United Kingdom,Other,Fireworks,15,20,UNKNOWN,3,1,2400000.0,
Canada federal,Canada,Other,*Metal forming dies and tooling *Hand tools *Power tools *Tool attachments and accessories *Tool kits *Precision hand tools *General shop tool storage cabinets or cabinets with tools,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Art supplies,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Domestic laundry appliances and supplies,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Accounting services.,15,20,UNKNOWN,3,3,167500.0,
Ireland,Ireland,Other,Construction equipment.,15,20,UNKNOWN,3,3,200000.0,
Canada federal,Canada,Other,*Avionics design,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Washers,15,20,UNKNOWN,3,3,,
United Kingdom,United Kingdom,Other,Multi-modal courier services,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Temporary construction and maintenance support equipment and materials,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Services incidental to forestry.,15,20,UNKNOWN,3,2,200000.0,
TED,LT,Printing,Print / routing,66,UNKNOWN,UNKNOWN,3,2,461997.0,
Canada federal,Canada,Other,*Medical practice *Medical doctor specialist services *Healthcare provider specialist services *Experimental medicine services,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Wind turbines,15,20,UNKNOWN,3,2,168000.0,
Canada federal,Canada,Other,*Minibuses,15,20,UNKNOWN,3,2,,
Ireland,Ireland,Other,Machine tools for working wood.,15,20,UNKNOWN,3,3,170000.0,
Canada federal,Canada,Other,*Food Beverage and Tobacco Products *Edible oils and fats *Chocolate and sugars and sweeteners and confectionary products *Seasonings and preservatives *Beverages *Cereal and pulse products *Dried fruit,15,20,UNKNOWN,3,1,,
United Kingdom,United Kingdom,Other,Road furniture,15,20,UNKNOWN,3,3,,
Ireland,Ireland,Other,Telephone-answering services.,15,20,UNKNOWN,3,3,215000.0,
Canada federal,Canada,Other,*Bridge construction and repair service *Concrete installation and repair services,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Orthopaedic supplies,15,20,UNKNOWN,3,3,20270000.0,
TED,SI,Web,Website / CMS,88,UNKNOWN,UNKNOWN,3,3,1201700.0,
Canada federal,Canada,Other,*Energy conservation,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Healthcare Services,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Heavy equipment maintenance and repair service *Electrical equipment maintenance and repair service *Laboratory equipment maintenance,15,20,UNKNOWN,3,2,,
TED,ARM,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3,2,548000000.0,
Canada federal,Canada,Other,*Rental of freight vessel for inland water transport with operator,15,20,UNKNOWN,3,3,,
Canada federal,Canada,Other,*Residential building construction services *Multiple unit dwelling construction services,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Cleaning Equipment and Supplies,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Electrical Systems and Lighting and Components and Accessories and Supplies,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Marine construction services *Marine engineering,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Cutting and crimping and punching tools,15,20,UNKNOWN,3,1,,
Canada federal,Canada,Other,*Professional engineering services *Structural engineering,15,20,UNKNOWN,3,2,,
Canada federal,Canada,Other,*Automotive heating ventilation air conditioning HVAC control head assembly *Automotive heating ventilation air conditioning HVAC power module *Automotive heating ventilation air conditioning HVAC resistor assembly *Heating and cooling and air conditioning HVAC construction and maintenance services *HVAC mechanical construction service *HVAC process piping construction service *HVAC solar energy construction service *HVAC ventilation and duct work construction service *HVAC refrigeration construction service *HVAC heating system construction service *Heating and cooling and air conditioning HVAC installation and maintenance service,15,20,UNKNOWN,3,2,,
United Kingdom,United Kingdom,Other,Cannulae,15,20,UNKNOWN,3,1,,
Ireland,Ireland,Other,Bakery products.,15,20,UNKNOWN,3,2,250000.0,
United Kingdom,United Kingdom,Other,Display screens,15,20,UNKNOWN,3,3,75000.5,
United Kingdom,United Kingdom,Other,Sludge disposal services,15,20,UNKNOWN,3,3,12500000.0,
Ireland,Ireland,Other,Primary water systems.,15,20,UNKNOWN,2,2,550000.0,
Canada federal,Canada,Other,"*Hydrogen H *Trailer, travel or caravan *Vehicle bodies and trailers",15,20,UNKNOWN,2,1,,
Ireland,Ireland,Other,"Construction work for pipelines, communication and power lines.",15,20,UNKNOWN,2,2,700000.0,
Canada federal,Canada,Other,*Car or truck insurance,15,20,UNKNOWN,2,2,,
Canada federal,Canada,Other,*Consumer credit gathering or reporting services,15,20,UNKNOWN,2,2,,
Ireland,Ireland,Other,Restoration work.,15,20,UNKNOWN,2,2,7580000.0,
Canada federal,Canada,Other,*Vending machines,15,20,UNKNOWN,2,2,,
Ireland,Ireland,Other,Railway materials.,15,20,UNKNOWN,2,1,,
Ireland,Ireland,Other,"Construction work for commercial buildings, warehouses and industrial buildings, buildings relating to transport.",15,20,UNKNOWN,2,2,13000000.0,
Ireland,Ireland,Other,Parts for aircraft.,15,20,UNKNOWN,2,2,1645000.0,
Ireland,Ireland,Other,Accommodation services.,15,20,UNKNOWN,2,2,,
Canada federal,Canada,Other,*Environmental advisory services *Strategic planning consultation services,15,20,UNKNOWN,2,1,,
Ireland,Ireland,Other,Blood analysis services.,15,20,UNKNOWN,2,2,95947.0,
Canada federal,Canada,Other,*Aids for medical training,15,20,UNKNOWN,2,1,,
Canada federal,Canada,Other,*Furniture *Office furniture *General furniture parts and accessories *Freestanding furniture,15,20,UNKNOWN,2,2,,
Ireland,Ireland,Other,Financial markets administration services.,15,20,UNKNOWN,2,2,175000.0,
Ireland,Ireland,Other,Construction work for industrial buildings.,15,20,UNKNOWN,2,2,75000.0,
Ireland,Ireland,Other,Bathroom furniture.,15,20,UNKNOWN,2,1,650000.0,
