micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score
Video production / editing / motion,Germany,GERMANY,OPEN_PUBLIC,EUR,49,10,2,20.0,3890000.0,0.505,220500.0,3467557.02,7,9.0,0.0,7,25.0,1562.5,76.81
SEO / digital marketing,Ireland,IRELAND,OPEN_PUBLIC,EUR,17,11,3,27.27,175000.0,80000.0,150000.0,170000.0,5,2.0,40.0,6,25.0,2083.33,76.27
Media / press monitoring,France,FRANCE,OPEN_PUBLIC,EUR,44,40,4,10.0,,101717.25,160511.0,492991.0,0,,,7,25.0,1562.5,76.19
Translation services,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,24,20,4,20.0,640199.0,12768.0,65280.0,146750.06,88,6.0,1.14,45,11.36,467.46,75.72
Website maintenance / hosting / support,Ireland,IRELAND,OPEN_PUBLIC,EUR,62,53,7,13.21,200000.0,108675.0,207500.0,475000.0,38,8.0,7.89,22,13.51,606.28,75.49
Translation services,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,22,7,2,28.57,,43115.625,142731.25,264442.5,0,,,18,15.38,739.64,75.37
Market research / surveys / polling,Canada federal,CANADA,OPEN_PUBLIC,CAD,37,28,5,17.86,,100603.75,196215.46,291250.0,0,,,9,27.27,1404.96,74.98
Video production / editing / motion,France,FRANCE,OPEN_PUBLIC,EUR,42,40,2,5.0,,297500.0,435000.0,730000.0,0,,,9,16.67,1458.33,74.96
Market research / surveys / polling,France,FRANCE,COMPETITIVE_OTHER,EUR,111,101,6,5.94,,38225.0,52982.5,62500.0,0,,,19,5.88,565.17,74.88
Commercial printing / print production,France,FRANCE,COMPETITIVE_OTHER,EUR,94,84,5,5.95,,39047.5,44995.0,54250.0,0,,,9,11.11,1111.11,74.88
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,18,16,2,12.5,,50753.350000000006,173493.0,389743.28,18,4.0,0.0,13,16.67,925.93,74.81
Video production / editing / motion,Canada federal,CANADA,OPEN_PUBLIC,CAD,16,8,2,25.0,,90228.75,258425.0,1951436.25,0,,,41,6.67,271.6,74.61
SEO / digital marketing,France,FRANCE,OPEN_PUBLIC,EUR,57,35,7,20.0,,802920.0,7000000.0,78808742.1,0,,,27,9.09,763.12,74.23
Graphic design / DTP / visual identity,Germany,GERMANY,OPEN_PUBLIC,EUR,59,13,2,15.38,570000.0,205856.0,284228.0,829710.0,16,9.5,6.25,17,10.53,637.12,74.12
Document scanning / digitization / OCR,Germany,GERMANY,OPEN_PUBLIC,EUR,21,10,2,20.0,247500.0,238650.0,252794.0,2370441.0,3,1.0,66.67,5,20.0,2000.0,74.03
WordPress / Drupal / CMS implementation,France,FRANCE,OPEN_PUBLIC,EUR,18,16,2,12.5,,172500.0,390000.0,559060.5,0,,,10,16.67,1444.44,73.96
Transcription / speech-to-text,Canada federal,CANADA,OPEN_PUBLIC,CAD,18,16,2,12.5,,350071.875,411993.75,681547.6599999999,0,,,6,28.57,1836.73,73.9
Media / press monitoring,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,10,8,2,25.0,,176245.41,665892.0,2259500.565,15,1.0,33.33,5,40.0,2977.78,73.7
