micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Website design / redesign / development,Germany,GERMANY,OPEN_PUBLIC,EUR,62,13,2,15.38,677500.0,4,299416.15,428460.6,1430134.75,4,7.0,0.0,8,12.5,1250.0,78.41,OPEN_BID
Promotional merchandise / branded goods,France,FRANCE,OPEN_PUBLIC,EUR,116,95,13,13.68,,19,235499.5,400000.0,764000.0,0,,,34,12.5,481.05,78.23,OPEN_BID
Website maintenance / hosting / support,France,FRANCE,COMPETITIVE_OTHER,EUR,85,81,4,4.94,,10,28275.4375,50843.5,645093.0,0,,,13,13.33,844.44,77.66,OPEN_BID
Annual report / publication layout-production,Canada federal,CANADA,OPEN_PUBLIC,CAD,18,13,3,23.08,,7,124675.675,200238.5,333730.75,0,,,8,12.5,1250.0,77.4,OPEN_BID
Video production / editing / motion,Germany,GERMANY,OPEN_PUBLIC,EUR,49,10,2,20.0,3890000.0,7,0.505,220500.0,3467557.02,7,9.0,0.0,7,25.0,1562.5,76.81,OPEN_BID
Transcription / speech-to-text,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,45,37,4,10.81,1050000.0,19,256625.0,756709.0,1268157.0,15,2.0,26.67,25,21.05,1045.17,76.3,OTHER_ROUTE
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,92,78,12,15.38,,85,35000.0,55200.0,144000.0,0,,,88,4.21,127.42,76.28,DIRECT_BUYER
SEO / digital marketing,Ireland,IRELAND,OPEN_PUBLIC,EUR,17,11,3,27.27,175000.0,5,80000.0,150000.0,170000.0,5,2.0,40.0,6,25.0,2083.33,76.27,OPEN_BID
Video production / editing / motion,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,37,25,4,16.0,,51,30000.0,41100.0,52787.72,51,1.0,100.0,30,9.8,449.83,76.21,DIRECT_BUYER
Media / press monitoring,France,FRANCE,OPEN_PUBLIC,EUR,44,40,4,10.0,,8,101717.25,160511.0,492991.0,0,,,7,25.0,1562.5,76.19,OPEN_BID
Translation services,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,24,20,4,20.0,640199.0,63,12768.0,65280.0,146750.06,88,6.0,1.14,45,11.36,467.46,75.72,OPEN_BID
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,51,45,5,11.11,437500.0,23,75000.0,133292.0,392719.77,20,1.0,85.0,20,8.0,560.0,75.7,OTHER_ROUTE
Website design / redesign / development,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,60,56,4,7.14,,81,30500.0,39091.5,52250.0,79,1.0,100.0,37,23.46,754.46,75.51,DIRECT_BUYER
Website maintenance / hosting / support,Ireland,IRELAND,OPEN_PUBLIC,EUR,62,53,7,13.21,200000.0,38,108675.0,207500.0,475000.0,38,8.0,7.89,22,13.51,606.28,75.49,OPEN_BID
Translation services,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,22,7,2,28.57,,26,43115.625,142731.25,264442.5,0,,,18,15.38,739.64,75.37,OPEN_BID
Market research / surveys / polling,Canada federal,CANADA,OPEN_PUBLIC,CAD,37,28,5,17.86,,11,100603.75,196215.46,291250.0,0,,,9,27.27,1404.96,74.98,OPEN_BID
Video production / editing / motion,France,FRANCE,OPEN_PUBLIC,EUR,42,40,2,5.0,,6,297500.0,435000.0,730000.0,0,,,9,16.67,1458.33,74.96,OPEN_BID
Market research / surveys / polling,France,FRANCE,COMPETITIVE_OTHER,EUR,111,101,6,5.94,,12,38225.0,52982.5,62500.0,0,,,19,5.88,565.17,74.88,OPEN_BID
Commercial printing / print production,France,FRANCE,COMPETITIVE_OTHER,EUR,94,84,5,5.95,,6,39047.5,44995.0,54250.0,0,,,9,11.11,1111.11,74.88,OPEN_BID
Website design / redesign / development,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,35,33,2,6.06,,39,35846.62,47829.6,57904.285,39,2.0,48.72,22,17.95,742.93,74.88,OTHER_ROUTE
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,18,16,2,12.5,,18,50753.350000000006,173493.0,389743.28,18,4.0,0.0,13,16.67,925.93,74.81,OPEN_BID
Video production / editing / motion,Canada federal,CANADA,OPEN_PUBLIC,CAD,16,8,2,25.0,,8,90228.75,258425.0,1951436.25,0,,,41,6.67,271.6,74.61,OPEN_BID
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,142,89,20,22.47,4196813.0,126,16822.28,32624.265,92504.0,0,,,127,2.16,86.43,74.34,DIRECT_BUYER
SEO / digital marketing,France,FRANCE,OPEN_PUBLIC,EUR,57,35,7,20.0,,11,802920.0,7000000.0,78808742.1,0,,,27,9.09,763.12,74.23,OPEN_BID
Graphic design / DTP / visual identity,Germany,GERMANY,OPEN_PUBLIC,EUR,59,13,2,15.38,570000.0,11,205856.0,284228.0,829710.0,16,9.5,6.25,17,10.53,637.12,74.12,OPEN_BID
Translation services,TED,ESP,UNKNOWN,EUR,114,4,3,75.0,614194.99,105,46398.66,129850.0,246000.0,83,5.0,9.64,31,31.25,1399.97,74.04,OTHER_ROUTE
Document scanning / digitization / OCR,Germany,GERMANY,OPEN_PUBLIC,EUR,21,10,2,20.0,247500.0,4,238650.0,252794.0,2370441.0,3,1.0,66.67,5,20.0,2000.0,74.03,OPEN_BID
WordPress / Drupal / CMS implementation,France,FRANCE,OPEN_PUBLIC,EUR,18,16,2,12.5,,6,172500.0,390000.0,559060.5,0,,,10,16.67,1444.44,73.96,OPEN_BID
Transcription / speech-to-text,Canada federal,CANADA,OPEN_PUBLIC,CAD,18,16,2,12.5,,7,350071.875,411993.75,681547.6599999999,0,,,6,28.57,1836.73,73.9,OPEN_BID
Media / press monitoring,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,10,8,2,25.0,,15,176245.41,665892.0,2259500.565,15,1.0,33.33,5,40.0,2977.78,73.7,OPEN_BID
Annual report / publication layout-production,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,33,29,3,10.34,750000.0,21,100000.0,604424.0,1500000.0,27,6.0,14.81,27,6.67,400.0,73.69,OPEN_BID
Translation services,Ireland,IRELAND,OPEN_PUBLIC,EUR,15,12,3,25.0,800000.0,6,202500.0,700000.0,950000.0,6,4.0,16.67,13,18.33,1527.78,73.63,OPEN_BID
Social media / community management,Germany,GERMANY,OPEN_PUBLIC,EUR,32,9,1,11.11,596000.0,4,0.7525,381609.5,819913.5,5,3.0,20.0,5,20.0,2000.0,73.33,OPEN_BID
Software licence renewal / licensing,Ireland,IRELAND,OPEN_PUBLIC,EUR,20,17,3,17.65,650000.0,11,130351.62,1000000.0,3400000.0,11,1.0,63.64,15,41.0,2190.0,73.33,OPEN_BID
Translation services,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,48,39,6,15.38,250000.0,45,200000.0,550000.0,1500000.0,48,12.0,0.0,85,6.0,229.53,72.93,OPEN_BID
Graphic design / DTP / visual identity,Ireland,IRELAND,OPEN_PUBLIC,EUR,47,43,2,4.65,200000.0,29,150000.0,250000.0,440000.0,29,10.0,0.0,31,9.88,516.31,72.79,OPEN_BID
SEO / digital marketing,Germany,GERMANY,OPEN_PUBLIC,EUR,44,11,1,9.09,621680.67,5,435920.0,800000.0,2100841.0,7,8.0,0.0,9,11.11,1111.11,72.76,OPEN_BID
Translation services,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,26,25,1,4.0,1120000.0,22,40126.472499999996,70500.0,271125.0,27,2.0,22.22,22,9.68,551.51,72.44,OTHER_ROUTE
Web accessibility / WCAG audit-remediation,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,16,15,1,6.67,790500.0,6,107362.5,190000.0,282500.0,7,22.0,0.0,8,12.5,1250.0,72.16,OPEN_BID
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,32,30,2,6.67,4000000.0,29,100000.0,400000.0,5100000.0,57,3.5,1.75,93,5.33,215.82,72.14,OPEN_BID
WordPress / Drupal / CMS implementation,Germany,GERMANY,OPEN_PUBLIC,EUR,26,9,1,11.11,2180000.0,5,504000.0,734400.0,747798.78,7,4.5,0.0,8,12.5,1250.0,72.04,OPEN_BID
Website design / redesign / development,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,39,35,3,8.57,1250000.0,13,37188.0,73584.0,150000.0,6,3.0,16.67,14,7.14,714.29,71.83,OTHER_ROUTE
SEO / digital marketing,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,17,13,2,15.38,6900000.0,9,41000.0,45000.0,70000.0,2,11.5,0.0,11,9.09,909.09,71.76,OPEN_BID
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,15,11,2,18.18,85000.0,13,200000.0,470451.09,2000000.0,16,3.0,18.75,22,9.41,575.78,71.67,OPEN_BID
SEO / digital marketing,France,FRANCE,UNKNOWN,EUR,19,11,4,36.36,17000.0,2,276375.0,284250.0,292125.0,0,,,2,50.0,5000.0,71.6,OTHER_ROUTE
Graphic design / DTP / visual identity,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,10,8,2,25.0,,7,107307.95,132695.9,783713.805,0,,,6,28.57,1836.73,71.32,OPEN_BID
Commercial printing / print production,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,47,42,3,7.14,290000.0,61,50000.0,291666.67,2300000.0,76,7.0,2.63,102,3.5,144.91,71.31,OPEN_BID
Video production / editing / motion,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,9,7,2,28.57,,11,70480.0,86940.0,98000.0,11,2.0,27.27,9,18.18,1239.67,71.26,OTHER_ROUTE
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,37,35,1,2.86,300000.0,27,87400.0,480000.0,3700000.0,48,11.0,4.17,104,2.12,150.52,71.22,OPEN_BID
