micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score
SEO / digital marketing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,6,4,1,25.0,,50000.0,75000.0,99500.0,7,1.0,100.0,6,28.57,1836.73,58.18
Market research / surveys / polling,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,9,6,2,33.33,,423418.5,696837.0,848418.5,0,,,3,33.33,3333.33,57.51
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,4,3,1,33.33,,25422.25,28144.5,30866.75,0,,,4,25.0,2500.0,56.81
Translation services,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,10,10,0,0.0,,19000.0,39000.0,109999.25,0,,,10,23.08,1242.6,55.65
Commercial printing / print production,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,6,5,1,20.0,,202500.0,250000.0,278412.45,0,,,8,22.22,1358.02,55.15
Promotional merchandise / branded goods,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,7,7,0,0.0,,34866.58,67921.48,74241.175,11,1.0,100.0,7,18.18,1570.25,54.34
Document scanning / digitization / OCR,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,5,2,1,50.0,502292.0,888836.01,1282000.0,1282000.0,2,1.0,100.0,2,50.0,5000.0,53.47
Social media / community management,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,6,6,0,0.0,,26950.0,27450.0,63588.8,0,,,5,33.33,2222.22,50.46
Website design / redesign / development,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,6,6,0,0.0,,158250.0,190500.0,222750.0,0,,,3,33.33,3333.33,49.12
Video production / editing / motion,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,5,1,1,100.0,,,,,2,1.0,100.0,1,100.0,10000.0,48.71
Data entry / document indexing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,5,5,0,0.0,,31211.0,49920.0,147919.79,7,1.0,100.0,5,28.57,2244.9,47.1
Annual report / publication layout-production,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,4,4,0,0.0,,29230.275,30000.0,63750.0,6,1.0,100.0,4,33.33,2777.78,45.13
Web accessibility / WCAG audit-remediation,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,3,3,0,0.0,,25105.0,30210.0,48438.5,0,,,3,33.33,3333.33,42.52
WordPress / Drupal / CMS implementation,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,3,3,0,0.0,,98500.0,140000.0,403986.0,0,,,3,33.33,3333.33,41.62
WordPress / Drupal / CMS implementation,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,5,2,0,0.0,,0.01,0.01,0.01,2,4.0,0.0,2,50.0,5000.0,40.77
Mailing / fulfilment / routing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,4,4,0,0.0,,86000.0,112000.0,148856.46000000002,0,,,4,25.0,2500.0,40.63
Media / press monitoring,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,3,3,0,0.0,,142097.5,175715.0,209332.5,0,,,2,50.0,5000.0,39.82
Data entry / document indexing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,3,3,0,0.0,,50000.0,70000.0,102504.065,0,,,3,33.33,3333.33,38.92
Graphic design / DTP / visual identity,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,3,0,0,0.0,,,,,0,,,,,,35.0
Software licence renewal / licensing,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,3,3,0,0.0,,,,,0,,,,,,31.22
Document-management software licensing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,3,3,0,0.0,,829723.5,1603420.0,3551710.0,0,,,3,33.33,3333.33,30.72
