family,country,currency,records,buyers,repeat_buyers,p25_value,median_value,p75_value,median_bidders
SOFTWARE_CLOUD_RESALE_EXPLICIT,FI,,1,1,0,,,,
CLEANING_CONSUMABLE_SUPPLY,MT,,1,1,0,,,,
CLEANING_CONSUMABLE_SUPPLY,LUX,,1,1,0,,,,
STAFFING_INTERMEDIARY_EXPLICIT,CI,EUR,1,1,0,3450000.0,3450000.0,3450000.0,
STAFFING_INTERMEDIARY_EXPLICIT,MK,,1,1,0,,,,
SOFTWARE_CLOUD_RESALE_EXPLICIT,SWE,SEK,1,1,0,400000000.0,400000000.0,400000000.0,
POSTAL_OFFICIAL_FULFILMENT,CHE,,1,1,0,,,,
STAFFING_INTERMEDIARY_EXPLICIT,SWE,EUR,1,1,0,250000.0,250000.0,250000.0,
STAFFING_INTERMEDIARY_EXPLICIT,AUT,EUR,1,1,0,350000.0,350000.0,350000.0,
CLEANING_CONSUMABLE_SUPPLY,CHE,,1,1,0,,,,
CLEANING_CONSUMABLE_SUPPLY,TUR,,1,1,0,,,,
